Item,Quantity,Total,Open By,Invoice #,Order #,Date Time,W.S #,Menu Type
Cheese Whiz,1,0.25,Cashier,101601,21,05-06-2025 21:04,1,Take Away
Fire in the Hole (150g),1,4.5,Cashier,101602,22,05-06-2025 21:06,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101602,22,05-06-2025 21:06,1,Take Away
MUSHROOMS CHEESESTEAK 18CM,1,4.5,Cashier,101603,23,05-06-2025 21:29,1,Take Away
French fries Meal,1,1.25,Cashier,101603,23,05-06-2025 21:29,1,Take Away
CLASSIC CHEESESTEAK- 18CM,1,4.5,Cashier,101604,24,05-06-2025 22:34,1,Take Away
CLASSIC CHEESESTEAK- 18CM,1,4.5,Cashier,101604,24,05-06-2025 22:34,1,Take Away
French fries Meal,1,1.25,Cashier,101605,25,05-06-2025 23:19,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,101605,25,05-06-2025 23:19,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101606,1,06-06-2025 13:04,1,Take Away
CLASSIC CHEESESTEAK- 23CM,1,5.25,Cashier,101606,1,06-06-2025 13:04,1,Take Away
Cheesy Fest (150g),1,4.5,Cashier,101607,2,06-06-2025 13:05,1,Take Away
French fries Meal,1,1.25,Cashier,101607,2,06-06-2025 13:05,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101608,3,06-06-2025 13:07,1,Take Away
CRISPY LAVA 23CM,1,4.75,Cashier,101608,3,06-06-2025 13:07,1,Take Away
French fries Meal,1,1.25,Cashier,101609,4,06-06-2025 13:36,1,Take Away
Cheeseburger,1,3.5,Cashier,101609,4,06-06-2025 13:36,1,Take Away
PHILLY CHEESESTEAK 18CM,1,4.5,Cashier,101609,4,06-06-2025 13:36,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101609,4,06-06-2025 13:36,1,Take Away
Hoagies Burger (150g),1,4.5,Cashier,101609,4,06-06-2025 13:36,1,Take Away
Chicken Salad,1,4.5,Cashier,101610,5,06-06-2025 13:39,1,Take Away
Chicken Salad,1,4.5,Cashier,101611,6,06-06-2025 13:42,1,Take Away
PHILLY CHEESESTEAK 18CM,1,4.5,Cashier,101612,7,06-06-2025 14:34,1,Take Away
Water,1,0.55,Cashier,101612,7,06-06-2025 14:34,1,Take Away
Matrix Cola,1,0.55,Cashier,101613,8,06-06-2025 15:28,1,Take Away
PHILLY CHEESESTEAK 18CM,1,4.5,Cashier,101614,9,06-06-2025 15:49,1,Take Away
PHILLY CHEESESTEAK 18CM,1,4.5,Cashier,101615,10,06-06-2025 16:34,1,Take Away
French fries Meal,1,1.25,Cashier,101615,10,06-06-2025 16:34,1,Take Away
Matrix Cola,1,0.55,Cashier,101616,11,06-06-2025 16:54,1,Take Away
Matrix Cola,1,0.55,Cashier,101617,12,06-06-2025 16:54,1,Take Away
Steak Salad,1,5.25,Cashier,101618,13,06-06-2025 17:14,1,Take Away
Chicken Salad,1,4.5,Cashier,101618,13,06-06-2025 17:14,1,Take Away
Matrix Cola,1,0.55,Cashier,101618,13,06-06-2025 17:14,1,Take Away
Water,1,0.55,Cashier,101618,13,06-06-2025 17:14,1,Take Away
Cheeseburger,1,3.5,Cashier,101619,14,06-06-2025 17:35,1,Take Away
French fries Meal,1,1.25,Cashier,101620,15,06-06-2025 17:37,1,Take Away
Cheese Whiz,1,0.25,Cashier,101620,15,06-06-2025 17:37,1,Take Away
Water,1,0.55,Cashier,101621,16,06-06-2025 17:41,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101622,17,06-06-2025 17:48,1,Take Away
Hoagies Burger (150g),1,4.5,Cashier,101622,17,06-06-2025 17:48,1,Take Away
French fries Meal,1,1.25,Cashier,101623,18,06-06-2025 18:42,1,Take Away
PHILLY CHEESESTEAK 18CM,1,4.5,Cashier,101623,18,06-06-2025 18:42,1,Take Away
French fries Meal,1,1.25,Cashier,101624,19,06-06-2025 18:47,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,101624,19,06-06-2025 18:47,1,Take Away
Water,1,0.55,Cashier,101625,20,06-06-2025 18:53,1,Take Away
Hoagies Burger (150g),1,4.5,Cashier,101625,20,06-06-2025 18:51,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101625,20,06-06-2025 18:51,1,Take Away
BARBECU CHEESESTEAK 18CM,1,4.5,Cashier,101625,20,06-06-2025 18:53,1,Take Away
MIAMI CHICKEN 18CM,1,4,Cashier,101625,20,06-06-2025 18:51,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101625,20,06-06-2025 18:51,1,Take Away
Matrix Cola,1,0.55,Cashier,101626,21,06-06-2025 19:18,1,Take Away
Matrix Cola,1,0.55,Cashier,101627,22,06-06-2025 19:47,1,Take Away
Water,1,0.55,Cashier,101628,23,06-06-2025 19:51,1,Take Away
Water,1,0.55,Cashier,101628,23,06-06-2025 19:51,1,Take Away
MUSHROOMS CHICKEN ALFREDO 23CM,1,4.75,Cashier,101629,24,06-06-2025 20:03,1,Take Away
French fries Meal,1,1.25,Cashier,101629,24,06-06-2025 20:03,1,Take Away
"AMERICAN MUSTARD,",1,0.25,Cashier,101630,25,06-06-2025 21:21,1,Take Away
Water,1,0.55,Cashier,101630,25,06-06-2025 21:21,1,Take Away
CHICKEN PHILLY 18CM,1,4,Cashier,101630,25,06-06-2025 21:21,1,Take Away
HOTDOG HOAGIES,1,3.5,Cashier,101630,25,06-06-2025 21:21,1,Take Away
"CHEESE WHIZ,",1,0.25,Cashier,101630,25,06-06-2025 21:21,1,Take Away
Water,1,0.55,Cashier,101630,25,06-06-2025 21:21,1,Take Away
"KETCHUP,",1,0.25,Cashier,101630,25,06-06-2025 21:21,1,Take Away
"WHITE ONIONS ,",1,0.25,Cashier,101630,25,06-06-2025 21:21,1,Take Away
French fries Meal,1,1.25,Cashier,101631,26,06-06-2025 21:23,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,101631,26,06-06-2025 21:23,1,Take Away
MUSHROOMS CHICKEN ALFREDO 23CM,1,4.75,Cashier,101631,26,06-06-2025 21:23,1,Take Away
MUSHROOMS CHEESESTEAK 18CM,1,4.5,Cashier,101632,27,06-06-2025 21:25,1,Take Away
BARBECU CHEESESTEAK 18CM,1,4.5,Cashier,101632,27,06-06-2025 21:25,1,Take Away
Matrix Cola,1,0.55,Cashier,101632,27,06-06-2025 21:25,1,Take Away
Water,1,0.55,Cashier,101633,28,06-06-2025 21:26,1,Take Away
French fries Meal,1,1.25,Cashier,101634,29,06-06-2025 21:29,1,Take Away
SHAWERMA STEAK 18CM,1,4.5,Cashier,101634,29,06-06-2025 21:29,1,Take Away
French fries Meal,1,1.25,Cashier,101634,29,06-06-2025 21:29,1,Take Away
BARBECU CHEESESTEAK 23CM,1,5.25,Cashier,101634,29,06-06-2025 21:29,1,Take Away
Matrix Cola,1,0.55,Cashier,101635,30,06-06-2025 21:48,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,101635,30,06-06-2025 21:48,1,Take Away
Matrix Cola,1,0.55,Cashier,101636,31,06-06-2025 21:57,1,Take Away
Cheese Whiz,1,0.25,Cashier,101636,31,06-06-2025 21:57,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101636,31,06-06-2025 21:57,1,Take Away
French fries Meal,1,1.25,Cashier,101637,33,06-06-2025 22:20,1,Take Away
PHILLY CHEESESTEAK 18CM,1,4.5,Cashier,101637,33,06-06-2025 22:20,1,Take Away
Water,1,0.55,Cashier,101638,34,06-06-2025 22:26,1,Take Away
Chicken Salad,1,4.5,Cashier,101638,34,06-06-2025 22:26,1,Take Away
Chicken Salad,1,4.5,Cashier,101638,34,06-06-2025 22:26,1,Take Away
Steak Salad,1,5.25,Cashier,101639,35,06-06-2025 22:28,1,Take Away
Water,1,0.55,Cashier,101639,35,06-06-2025 22:28,1,Take Away
Cheeseburger,1,3.5,Cashier,101640,1,07-06-2025 12:55,1,Take Away
French fries Meal,1,1.25,Cashier,101641,2,07-06-2025 12:56,1,Take Away
CHICKEN PHILLY 23CM,1,4.75,Cashier,101641,2,07-06-2025 12:56,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101642,3,07-06-2025 15:20,1,Take Away
Cheese Whiz,1,0.25,Cashier,101642,3,07-06-2025 15:20,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,101642,3,07-06-2025 15:20,1,Take Away
French fries Meal,1,1.25,Cashier,101643,4,07-06-2025 16:03,1,Take Away
Cheeseburger,1,3.5,Cashier,101643,4,07-06-2025 16:02,1,Take Away
CRISPY CREAM 18CM,1,4,Cashier,101644,5,07-06-2025 16:34,1,Take Away
Cheeseburger,1,3.5,Cashier,101644,5,07-06-2025 16:34,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101644,5,07-06-2025 16:34,1,Take Away
Cheeseburger,1,3.5,Cashier,101644,5,07-06-2025 16:34,1,Take Away
Cheeseburger,1,3.5,Cashier,101644,5,07-06-2025 16:34,1,Take Away
Cheeseburger,1,3.5,Cashier,101645,6,07-06-2025 16:35,1,Take Away
Hotdog,1,3.5,Cashier,101645,6,07-06-2025 16:35,1,Take Away
French fries Meal,1,1.25,Cashier,101646,7,07-06-2025 16:36,1,Take Away
CLASSIC CHEESESTEAK- 18CM,1,4.5,Cashier,101646,7,07-06-2025 16:36,1,Take Away
French fries Meal,1,1.25,Cashier,101646,7,07-06-2025 16:36,1,Take Away
CLASSIC CHEESESTEAK- 18CM,1,4.5,Cashier,101646,7,07-06-2025 16:36,1,Take Away
French fries Meal,1,1.25,Cashier,101646,7,07-06-2025 16:36,1,Take Away
CLASSIC CHEESESTEAK- 18CM,1,4.5,Cashier,101646,7,07-06-2025 16:36,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101647,8,07-06-2025 16:38,1,Take Away
Chicken Nuggets,1,3.5,Cashier,101647,8,07-06-2025 16:38,1,Take Away
Chicken Nuggets,1,3.5,Cashier,101647,8,07-06-2025 16:38,1,Take Away
CRISPY LAVA 18CM,1,4,Cashier,101647,8,07-06-2025 16:38,1,Take Away
Hotdog,1,3.5,Cashier,101648,9,07-06-2025 16:38,1,Take Away
CLASSIC CHEESESTEAK- 23CM,1,5.25,Cashier,101649,10,07-06-2025 16:39,1,Take Away
CLASSIC CHEESESTEAK- 18CM,1,4.5,Cashier,101649,10,07-06-2025 16:39,1,Take Away
French fries Meal,1,1.25,Cashier,101649,10,07-06-2025 16:39,1,Take Away
French fries Meal,1,1.25,Cashier,101649,10,07-06-2025 16:39,1,Take Away
Chicken Nuggets,1,3.5,Cashier,101650,11,07-06-2025 16:55,1,Take Away
BARBECU CHEESESTEAK 18CM,1,4.5,Cashier,101651,12,07-06-2025 17:10,1,Take Away
BARBECU CHEESESTEAK 18CM,1,4.5,Cashier,101651,12,07-06-2025 17:10,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101652,13,07-06-2025 17:45,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,101652,13,07-06-2025 17:45,1,Take Away
HOTDOG HOAGIES,1,3.5,Cashier,101652,13,07-06-2025 17:45,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101652,13,07-06-2025 17:45,1,Take Away
Cheese Whiz,1,0.25,Cashier,101652,13,07-06-2025 17:45,1,Take Away
French fries Meal,1,1.25,Cashier,101652,13,07-06-2025 17:45,1,Take Away
MUSHROOMS CHEESESTEAK 18CM,1,4.5,Cashier,101652,13,07-06-2025 17:45,1,Take Away
Chipotle Mayo (Spicy),1,0.25,Cashier,101652,13,07-06-2025 17:45,1,Take Away
"AMERICAN MUSTARD,",1,0.25,Cashier,101652,13,07-06-2025 17:45,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101652,13,07-06-2025 17:45,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,101652,13,07-06-2025 17:45,1,Take Away
Water,1,0.55,Cashier,101653,14,07-06-2025 17:55,1,Take Away
Water,1,0.55,Cashier,101654,15,07-06-2025 18:15,1,Take Away
Cheese Whiz,1,0.25,Cashier,101654,15,07-06-2025 18:14,1,Take Away
Water,1,0.55,Cashier,101654,15,07-06-2025 18:15,1,Take Away
Honey Mustard,1,0.25,Cashier,101654,15,07-06-2025 18:14,1,Take Away
Chipotle Mayo (Spicy),1,0.25,Cashier,101654,15,07-06-2025 18:14,1,Take Away
French fries Meal,1,1.25,Cashier,101654,15,07-06-2025 18:14,1,Take Away
BBQ Sauce,1,0.25,Cashier,101654,15,07-06-2025 18:15,1,Take Away
Water,1,0.55,Cashier,101654,15,07-06-2025 18:15,1,Take Away
Water,1,0.55,Cashier,101655,16,07-06-2025 18:38,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101656,17,07-06-2025 18:47,1,Take Away
Magic Mushroom (150g),1,4.5,Cashier,101656,17,07-06-2025 18:47,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101656,17,07-06-2025 18:47,1,Take Away
CLASSIC CHEESESTEAK- 23CM,1,5.25,Cashier,101656,17,07-06-2025 18:47,1,Take Away
French fries Meal,1,1.25,Cashier,101656,17,07-06-2025 18:47,1,Take Away
CLASSIC CHEESESTEAK- 23CM,1,5.25,Cashier,101656,17,07-06-2025 18:47,1,Take Away
MUSHROOMS CHEESESTEAK 18CM,1,4.5,Cashier,101657,18,07-06-2025 19:13,1,Take Away
Mixed Fries Platter,1,3,Cashier,101657,18,07-06-2025 19:13,1,Take Away
MIAMI CHICKEN 23CM,1,4.75,Cashier,101657,18,07-06-2025 19:13,1,Take Away
COMBO 1,1,11,Cashier,101658,20,07-06-2025 19:17,1,Take Away
Matrix Cola,1,0.55,Cashier,101659,21,07-06-2025 19:26,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,101660,22,07-06-2025 19:52,1,Take Away
French fries Meal,1,1.25,Cashier,101660,22,07-06-2025 19:52,1,Take Away
MUSHROOMS CHICKEN ALFREDO 18CM,1,4,Cashier,101661,23,07-06-2025 20:01,1,Take Away
Water,1,0.55,Cashier,101661,23,07-06-2025 20:01,1,Take Away
MUSHROOMS CHICKEN ALFREDO 18CM,1,4,Cashier,101661,23,07-06-2025 20:01,1,Take Away
CLASSIC CHEESESTEAK- 18CM,1,4.5,Cashier,101661,23,07-06-2025 20:01,1,Take Away
CLASSIC CHEESESTEAK- 23CM,1,5.25,Cashier,101662,24,07-06-2025 20:17,1,Take Away
CLASSIC CHEESESTEAK- 18CM,1,4.5,Cashier,101662,24,07-06-2025 20:17,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101662,24,07-06-2025 20:17,1,Take Away
Cheeseburger,1,3.5,Cashier,101662,24,07-06-2025 20:17,1,Take Away
French fries Meal,1,1.25,Cashier,101662,24,07-06-2025 20:17,1,Take Away
"POTATO CHIPS,",1,0.25,Cashier,101663,25,07-06-2025 20:23,1,Take Away
HOTDOG HOAGIES,1,3.5,Cashier,101663,25,07-06-2025 20:23,1,Take Away
"CHEESE WHIZ,",1,0.25,Cashier,101663,25,07-06-2025 20:23,1,Take Away
"CARMALIZED ONIONS,",1,0.25,Cashier,101663,25,07-06-2025 20:23,1,Take Away
CHIPOTLE MAYO SPICY,1,0.25,Cashier,101663,25,07-06-2025 20:23,1,Take Away
"MAYONNAISE,",1,0.25,Cashier,101663,25,07-06-2025 20:23,1,Take Away
CHICKEN PHILLY 23CM,1,4.75,Cashier,101664,26,07-06-2025 20:25,1,Take Away
MUSHROOMS CHICKEN ALFREDO 23CM,1,4.75,Cashier,101664,26,07-06-2025 20:25,1,Take Away
French fries Meal,1,1.25,Cashier,101664,26,07-06-2025 20:25,1,Take Away
Homemade Nuggets,1,2.5,Cashier,101664,26,07-06-2025 20:26,1,Take Away
Chicken Strips,1,2.5,Cashier,101664,26,07-06-2025 20:26,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101665,27,07-06-2025 20:27,1,Take Away
Hoagies Burger (150g),1,4.5,Cashier,101665,27,07-06-2025 20:27,1,Take Away
Homemade Nuggets,1,2.5,Cashier,101666,28,07-06-2025 20:32,1,Take Away
Homemade Nuggets,1,2.5,Cashier,101666,28,07-06-2025 20:32,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101667,30,07-06-2025 20:37,1,Take Away
MIAMI CHICKEN 23CM,1,4.75,Cashier,101667,30,07-06-2025 20:37,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101667,30,07-06-2025 20:37,1,Take Away
CLASSIC CHEESESTEAK- 23CM,1,5.25,Cashier,101667,30,07-06-2025 20:37,1,Take Away
CHIPOTLE MAYO SPICY,1,0.25,Cashier,101668,31,07-06-2025 20:39,1,Take Away
HOTDOG HOAGIES,1,3.5,Cashier,101668,31,07-06-2025 20:39,1,Take Away
"CHEESE WHIZ,",1,0.25,Cashier,101668,31,07-06-2025 20:39,1,Take Away
French fries Meal,1,1.25,Cashier,101668,31,07-06-2025 20:39,1,Take Away
"WHITE ONIONS ,",1,0.25,Cashier,101668,31,07-06-2025 20:39,1,Take Away
"AMERICAN MUSTARD,",1,0.25,Cashier,101668,31,07-06-2025 20:39,1,Take Away
"WHITE ONIONS ,",1,0.25,Cashier,101668,31,07-06-2025 20:39,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101669,32,07-06-2025 20:59,1,Take Away
CHICKEN PHILLY 23CM,1,4.75,Cashier,101669,32,07-06-2025 20:59,1,Take Away
CHICKEN PHILLY 23CM,1,4.75,Cashier,101669,32,07-06-2025 20:59,1,Take Away
Mac & Cheese,1,3,Cashier,101669,32,07-06-2025 20:59,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101669,32,07-06-2025 20:59,1,Take Away
Matrix Sprite,1,0.55,Cashier,101670,33,07-06-2025 21:00,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,101670,33,07-06-2025 21:00,1,Take Away
Onion Rings,1,1.75,Cashier,101671,34,07-06-2025 21:02,1,Take Away
French fries Meal,1,1.25,Cashier,101672,35,07-06-2025 21:02,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,101672,35,07-06-2025 21:02,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,101672,35,07-06-2025 21:02,1,Take Away
French fries Meal,1,1.25,Cashier,101672,35,07-06-2025 21:02,1,Take Away
French fries Meal,1,1.25,Cashier,101673,36,07-06-2025 21:07,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,101673,36,07-06-2025 21:07,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101674,37,07-06-2025 21:07,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,101674,37,07-06-2025 21:07,1,Take Away
French fries Meal,1,1.25,Cashier,101675,38,07-06-2025 21:10,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,101675,38,07-06-2025 21:10,1,Take Away
Matrix Cola,1,0.55,Cashier,101676,39,07-06-2025 21:11,1,Take Away
MIAMI CHICKEN 23CM,1,4.75,Cashier,101676,39,07-06-2025 21:11,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,101677,40,07-06-2025 21:35,1,Take Away
Wedges Meal,1,1.5,Cashier,101677,40,07-06-2025 21:35,1,Take Away
Water,1,0.55,Cashier,101678,41,07-06-2025 21:36,1,Take Away
Chicken Nuggets,1,3.5,Cashier,101679,42,07-06-2025 21:45,1,Take Away
Chicken Nuggets,1,3.5,Cashier,101679,42,07-06-2025 21:45,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101680,43,07-06-2025 21:49,1,Take Away
French fries Meal,1,1.25,Cashier,101680,43,07-06-2025 21:49,1,Take Away
CLASSIC CHEESESTEAK- 23CM,1,5.25,Cashier,101680,43,07-06-2025 21:49,1,Take Away
BARBECU CHEESESTEAK 23CM,1,5.25,Cashier,101680,43,07-06-2025 21:49,1,Take Away
Mixed Fries Platter,1,3,Cashier,101681,44,07-06-2025 22:06,1,Take Away
Water,1,0.55,Cashier,101681,44,07-06-2025 22:07,1,Take Away
French fries Meal,1,1.25,Cashier,101682,45,07-06-2025 22:13,1,Take Away
French fries Meal,1,1.25,Cashier,101682,45,07-06-2025 22:13,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,101682,45,07-06-2025 22:13,1,Take Away
French fries Meal,1,1.25,Cashier,101683,46,07-06-2025 22:24,1,Take Away
Matrix Cola,1,0.55,Cashier,101684,47,07-06-2025 22:25,1,Take Away
Steak Salad,1,5.25,Cashier,101685,48,07-06-2025 22:36,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,101686,49,07-06-2025 22:37,1,Take Away
French fries Meal,1,1.25,Cashier,101687,50,07-06-2025 22:40,1,Take Away
CRISPY LAVA 23CM,1,4.75,Cashier,101687,50,07-06-2025 22:40,1,Take Away
MIAMI CHICKEN 23CM,1,4.75,Cashier,101688,51,07-06-2025 22:42,1,Take Away
French fries Meal,1,1.25,Cashier,101688,51,07-06-2025 22:42,1,Take Away
CRISPY CREAM 23CM,1,4.75,Cashier,101688,51,07-06-2025 22:42,1,Take Away
French fries Meal,1,1.25,Cashier,101689,52,07-06-2025 23:02,1,Take Away
MUSHROOMS CHEESESTEAK 18CM,1,4.5,Cashier,101689,52,07-06-2025 23:02,1,Take Away
MIAMI CHICKEN 23CM,1,4.75,Cashier,101689,52,07-06-2025 23:02,1,Take Away
French fries Meal,1,1.25,Cashier,101690,53,07-06-2025 23:07,1,Take Away
Curly Fries Meal,1,1.5,Cashier,101690,53,07-06-2025 23:07,1,Take Away
CRISPY LAVA 18CM,1,4,Cashier,101690,53,07-06-2025 23:07,1,Take Away
MIAMI CHICKEN 18CM,1,4,Cashier,101690,53,07-06-2025 23:07,1,Take Away
MUSHROOMS CHEESESTEAK 18CM,1,4.5,Cashier,101691,54,07-06-2025 23:10,1,Take Away
Hotdog Fried Platter,1,3,Cashier,101691,54,07-06-2025 23:10,1,Take Away
Water,1,0.55,Cashier,101692,55,07-06-2025 23:11,1,Take Away
French fries Meal,1,1.25,Cashier,101693,1,08-06-2025 12:08,1,Take Away
French fries Meal,1,1.25,Cashier,101693,1,08-06-2025 12:08,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,101693,1,08-06-2025 12:08,1,Take Away
MUSHROOMS CHICKEN ALFREDO 23CM,1,4.75,Cashier,101693,1,08-06-2025 12:08,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,101694,2,08-06-2025 12:29,1,Take Away
Water,1,0.55,Cashier,101694,2,08-06-2025 12:29,1,Take Away
Matrix Cola,1,0.55,Cashier,101695,3,08-06-2025 12:32,1,Take Away
French fries Meal,1,1.25,Cashier,101696,4,08-06-2025 12:32,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,101696,4,08-06-2025 12:32,1,Take Away
Water,1,0.55,Cashier,101697,5,08-06-2025 13:15,1,Take Away
Water,1,0.55,Cashier,101697,5,08-06-2025 13:15,1,Take Away
CHIPOTLE MAYO SPICY,1,0.25,Cashier,101698,6,08-06-2025 13:21,1,Take Away
"CHEESE WHIZ,",1,0.25,Cashier,101698,6,08-06-2025 13:21,1,Take Away
"WHITE ONIONS ,",1,0.25,Cashier,101698,6,08-06-2025 13:21,1,Take Away
HOTDOG HOAGIES,1,3.5,Cashier,101698,6,08-06-2025 13:21,1,Take Away
French fries Meal,1,1.25,Cashier,101698,6,08-06-2025 13:21,1,Take Away
French fries Meal,1,1.25,Cashier,101699,7,08-06-2025 13:51,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,101699,7,08-06-2025 13:51,1,Take Away
Matrix Sprite,1,0.55,Cashier,101700,8,08-06-2025 15:14,1,Take Away
PHILLY CHEESESTEAK 18CM,1,4.5,Cashier,101700,8,08-06-2025 15:14,1,Take Away
MUSHROOMS CHICKEN ALFREDO 18CM,1,4,Cashier,101700,8,08-06-2025 15:14,1,Take Away
French fries Meal,1,1.25,Cashier,101700,8,08-06-2025 15:14,1,Take Away
French fries Meal,1,1.25,Cashier,101701,9,08-06-2025 15:25,1,Take Away
Hotdog,1,3.5,Cashier,101701,9,08-06-2025 15:25,1,Take Away
Hoagies Burger (150g),1,4.5,Cashier,101701,9,08-06-2025 15:25,1,Take Away
Hoagies Burger (150g),1,4.5,Cashier,101701,9,08-06-2025 15:25,1,Take Away
French fries Meal,1,1.25,Cashier,101701,9,08-06-2025 15:25,1,Take Away
Chicken Nuggets,1,3.5,Cashier,101701,9,08-06-2025 15:25,1,Take Away
French fries Meal,1,1.25,Cashier,101701,9,08-06-2025 15:25,1,Take Away
Hoagies Burger (150g),1,4.5,Cashier,101701,9,08-06-2025 15:25,1,Take Away
Cheeseburger,1,3.5,Cashier,101701,9,08-06-2025 15:25,1,Take Away
"AMERICAN MUSTARD,",1,0.25,Cashier,101702,10,08-06-2025 16:21,1,Take Away
MUSHROOMS CHICKEN ALFREDO 23CM,1,4.75,Cashier,101702,10,08-06-2025 16:21,1,Take Away
French fries Meal,1,1.25,Cashier,101702,10,08-06-2025 16:21,1,Take Away
HOTDOG HOAGIES,1,3.5,Cashier,101702,10,08-06-2025 16:21,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,101702,10,08-06-2025 16:21,1,Take Away
"SHEREDDED CHEEDAR,",1,0.25,Cashier,101702,10,08-06-2025 16:21,1,Take Away
French fries Meal,1,1.25,Cashier,101702,10,08-06-2025 16:21,1,Take Away
PICKELED JALAPENOS,1,0.25,Cashier,101702,10,08-06-2025 16:21,1,Take Away
"WHITE ONIONS ,",1,0.25,Cashier,101702,10,08-06-2025 16:21,1,Take Away
Matrix Cola,1,0.55,Cashier,101703,11,08-06-2025 16:25,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,101703,11,08-06-2025 16:25,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,101704,12,08-06-2025 16:26,1,Take Away
Matrix Cola,1,0.55,Cashier,101704,12,08-06-2025 16:26,1,Take Away
Matrix Cola,1,0.55,Cashier,101705,13,08-06-2025 16:29,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,101705,13,08-06-2025 16:29,1,Take Away
Matrix Cola,1,0.55,Cashier,101706,14,08-06-2025 16:31,1,Take Away
CLASSIC CHEESESTEAK- 18CM,1,4.5,Cashier,101706,14,08-06-2025 16:31,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,101707,15,08-06-2025 16:37,1,Take Away
French fries Meal,1,1.25,Cashier,101707,15,08-06-2025 16:37,1,Take Away
MUSHROOMS CHEESESTEAK 18CM,1,4.5,Cashier,101707,15,08-06-2025 16:37,1,Take Away
Water,1,0.55,Cashier,101707,15,08-06-2025 16:37,1,Take Away
Matrix Cola,1,0.55,Cashier,101708,16,08-06-2025 16:50,1,Take Away
Water,1,0.55,Cashier,101709,17,08-06-2025 17:01,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,101710,18,08-06-2025 17:03,1,Take Away
French fries Meal,1,1.25,Cashier,101710,18,08-06-2025 17:03,1,Take Away
Chicken Nuggets,1,3.5,Cashier,101711,19,08-06-2025 17:05,1,Take Away
CLASSIC CHEESESTEAK- 23CM,1,5.25,Cashier,101712,20,08-06-2025 17:23,1,Take Away
MUSHROOMS CHEESESTEAK 18CM,1,4.5,Cashier,101712,20,08-06-2025 17:23,1,Take Away
BARBECU CHEESESTEAK 23CM,1,5.25,Cashier,101712,20,08-06-2025 17:23,1,Take Away
Matrix Sprite,1,0.55,Cashier,101712,20,08-06-2025 17:23,1,Take Away
Matrix Sprite,1,0.55,Cashier,101712,20,08-06-2025 17:23,1,Take Away
