id,offer name,code,payout,revenue,sale amount,expected ratio revenue,expected ratio sale,expected payout fixed,match method,matched or not
5389,Namshi,zku,14.08,16.22,648.89,0.8994082840236687,0.022484389892143762,2.4050000000000002,"mixed (revenue, sale)",matched
10856,New Balance ,v2ih,33.79,45.07,1501.82,0.7494055816306456,0.022497334186393686,2.96,revenue,matched
6675,New Balance ,v4p4,4.5,5.0,166.72,0.9,0.026991362763915547,4.5,revenue,matched
14727,New Balance ,vinn,8.77,11.690000000000001,389.71,0.7500016436662963,0.022501743988289274,4.385,revenue,matched
6729,New Balance ,vq58,2.13,2.5,83.36,0.852,0.025551823416506716,2.13,revenue,matched
14465,New Balance ,vxmx,9.01,10.01,333.44,0.9001278772378517,0.027021999114129634,4.505,revenue,matched
6947,New Balance ,vyw8,17.55,23.4,779.8199999999999,0.75,0.022498392971930577,3.65,revenue,matched
14757,Noon Egypt,ade8,7.4399999999999995,9.3,271.71,0.8,0.029164383355035267,0.8,revenue,matched
6706,Noon Egypt,alc32,1.12,1.4,41.09,0.8000000000000002,0.02727437808150073,0.56,revenue,matched
6706,Noon Egypt,alc42,2.88,3.6,79.87,0.8,0.03863298662704309,0.8,revenue,matched
6706,Noon Egypt,alc44,8.88,11.100000000000001,268.9,0.8,0.03340292275574113,0.24,revenue,matched
6706,Noon Egypt,alc51,2.8,3.5,81.32,0.8,0.035438940390760995,0.4,revenue,matched
6706,Noon Egypt,alc52,7.96,9.95,256.27,0.8,0.02649006622516556,0.24,revenue,matched
6706,Noon Egypt,alc53,0.72,0.8999999999999999,16.59,0.8,0.04203152364273205,0.24,revenue,matched
6706,Noon Egypt,alc54,54.16,67.7,1850.28,0.8,0.034487945144879455,0.56,revenue,matched
6706,Noon Egypt,alc56,6.32,7.9,193.23,0.8,0.03373337658125203,0.24,revenue,matched
6706,Noon Egypt,alc57,1.04,1.3,36.29,0.8,0.026875699888017916,0.24,revenue,matched
6706,Noon Egypt,alc59,1.28,1.5999999999999999,40.15,0.8,0.030232076253626193,0.24,revenue,matched
