" ",Offer Name,Partner ID,Date,Code,Geo,Payout,Revenue,Sale Amount
2031796,Rasees,7246,"Aug 25, 2025",tt78,ksa,6.266,9.64,74.15
2031793,Rasees,189,"Aug 25, 2025",rs63,ksa,5.276,5.86,45.09
2031792,Rasees,6669,"Aug 25, 2025",tt137,ksa,9.304,14.31,110.11
2031797,Rasees,1,"Aug 25, 2025",rs20,ksa,0,4.09,31.45
2020151,Rasees,6669,"Aug 24, 2025",tt38,ksa,6.737,10.37,79.73
2020153,Rasees,6728,"Aug 24, 2025",tt99,ksa,3.394,4.41,33.91
2020150,Rasees,6675,"Aug 24, 2025",bf4,ksa,5.276,5.86,45.09
2020152,Rasees,10856,"Aug 24, 2025",tt132,ksa,2.865,4.41,33.91
2020156,Rasees,6729,"Aug 24, 2025",tt87,ksa,13.57,17.62,135.56
2020155,Rasees,6729,"Aug 24, 2025",tt87,ksa,3.148,4.09,31.45
2020154,Rasees,6669,"Aug 24, 2025",tt135,ksa,2.865,4.41,33.91
2020148,Rasees,189,"Aug 23, 2025",rs92,ksa,6.642,7.38,56.77
2020145,Rasees,189,"Aug 23, 2025",rs93,ksa,8.676,9.64,74.15
2020146,Rasees,6669,"Aug 23, 2025",tt135,ksa,2.635,4.05,31.19
2020149,Rasees,6669,"Aug 23, 2025",tt135,ksa,3.2,4.92,37.87
2020147,Rasees,6728,"Aug 23, 2025",tt99,ksa,7.668,9.96,76.61
2014583,Rasees,6669,"Aug 22, 2025",tt135,ksa,6.473,9.96,76.61
2014585,Rasees,6675,"Aug 22, 2025",bf4,ksa,3.649,4.05,31.19
2014587,Rasees,189,"Aug 22, 2025",rs92,ksa,3.68,4.09,31.45
2014584,Rasees,189,"Aug 22, 2025",rs63,ksa,3.649,4.05,31.19
2014582,Rasees,6669,"Aug 22, 2025",tt135,ksa,6.266,9.64,74.15
2014581,Rasees,6669,"Aug 22, 2025",tt135,ksa,6.473,9.96,76.61
2014586,Rasees,189,"Aug 22, 2025",rs93,ksa,9.808,10.9,83.83
2014580,Rasees,6669,"Aug 21, 2025",tt38,ksa,9.22,14.19,109.12
2014578,Rasees,189,"Aug 21, 2025",rs63,ksa,5.684,6.32,48.58
2014579,Rasees,7083,"Aug 21, 2025",rs45,ksa,5.97,9.18,70.65
2014572,Rasees,6728,"Aug 20, 2025",tt99,ksa,5.498,7.14,54.93
2014576,Rasees,189,"Aug 20, 2025",rs92,ksa,8.676,9.64,74.15
2014575,Rasees,189,"Aug 20, 2025",rs93,ksa,8.963,9.96,76.61
2014570,Rasees,6706,"Aug 20, 2025",rs5,ksa,6.266,9.64,74.15
2014571,Rasees,6728,"Aug 20, 2025",tt99,ksa,5.498,7.14,54.93
2014577,Rasees,189,"Aug 20, 2025",rs92,ksa,6.674,7.42,57.04
2014573,Rasees,6675,"Aug 20, 2025",rs98,ksa,3.967,4.41,33.91
2014569,Rasees,189,"Aug 20, 2025",rs63,ksa,5.563,6.18,47.54
2014574,Rasees,189,"Aug 20, 2025",rs63,ksa,10.298,11.44,88.01
2008698,Rasees,6729,"Aug 19, 2025",tt87,ksa,23.65,30.71,236.27
2008701,Rasees,189,"Aug 19, 2025",rs64,ksa,6.932,7.7,59.25
2008699,Rasees,6669,"Aug 19, 2025",tt135,ksa,2.658,4.09,31.45
2008703,Rasees,189,"Aug 19, 2025",rs92,ksa,10.298,11.44,88.01
2008702,Rasees,8274,"Aug 19, 2025",rs6,ksa,8.81,11.44,88.01
2008700,Rasees,7083,"Aug 19, 2025",rs45,ksa,4.82,7.42,57.04
2006831,Rasees,189,"Aug 18, 2025",rs92,ksa,10.011,11.12,85.56
2006833,Rasees,6706,"Aug 18, 2025",rs5,ksa,4.799,7.38,56.79
2006837,Rasees,6669,"Aug 18, 2025",tt135,ksa,2.635,4.05,31.19
2006834,Rasees,6729,"Aug 18, 2025",tt87,ksa,6.157,8,61.5
2006832,Rasees,6669,"Aug 18, 2025",tt38,ksa,6.737,10.37,79.73
2006836,Rasees,6669,"Aug 18, 2025",tt38,ksa,6.737,10.37,79.73
2006835,Rasees,6669,"Aug 18, 2025",tt135,ksa,6.266,9.64,74.15
2034100,Rasees,8274,"Aug 17, 2025",rs6,ksa,8.81,11.44,88.01
2034094,Rasees,6875,"Aug 17, 2025",tt36,ksa,7.125,10.96,84.32
2034097,Rasees,189,"Aug 17, 2025",rs94,ksa,8.963,9.96,76.61
2034098,Rasees,6669,"Aug 17, 2025",tt135,ksa,5.952,9.16,70.43
2034096,Rasees,6669,"Aug 17, 2025",tt135,ksa,2.658,4.09,31.45
2034093,Rasees,6669,"Aug 17, 2025",tt135,ksa,2.658,4.09,31.45
2034095,Rasees,6729,"Aug 17, 2025",tt87,ksa,5.685,7.38,56.79
2034099,Rasees,189,"Aug 17, 2025",rs92,ksa,6.674,7.42,57.04
2034101,Rasees,189,"Aug 17, 2025",rs92,ksa,10.298,11.44,88.01
2003647,Rasees,6675,"Aug 16, 2025",bf4,ksa,8.676,9.64,74.15
2004223,Rasees,6675,"Aug 16, 2025",bf4,ksa,8.676,9.64,74.15
2004225,Rasees,189,"Aug 16, 2025",rs94,ksa,6.713,7.46,57.38
2004224,Rasees,189,"Aug 16, 2025",rs94,ksa,6.645,7.38,56.79
2003649,Rasees,189,"Aug 16, 2025",rs94,ksa,6.713,7.46,57.38
2003648,Rasees,189,"Aug 16, 2025",rs94,ksa,6.645,7.38,56.79
2004226,Rasees,6729,"Aug 16, 2025",tt87,ksa,16.782,21.79,167.65
2003650,Rasees,6729,"Aug 16, 2025",tt87,ksa,16.782,21.79,167.65
1999803,Rasees,189,"Aug 15, 2025",rs93,ksa,8.676,9.64,74.15
1999809,Rasees,189,"Aug 15, 2025",rs93,ksa,3.68,4.09,31.45
1999804,Rasees,6728,"Aug 15, 2025",tt99,ksa,8.637,11.22,86.28
1999806,Rasees,189,"Aug 15, 2025",rs92,ksa,8.676,9.64,74.15
1999808,Rasees,189,"Aug 15, 2025",rs94,ksa,5.563,6.18,47.54
1999807,Rasees,6706,"Aug 15, 2025",rs5,ksa,6.266,9.64,74.15
1999805,Rasees,6924,"Aug 15, 2025",rs44,ksa,2.658,4.09,31.45
1999810,Rasees,6669,"Aug 15, 2025",tt135,ksa,2.865,4.41,33.91
1999802,Rasees,189,"Aug 14, 2025",rs92,ksa,10.011,11.12,85.56
1999800,Rasees,189,"Aug 14, 2025",rs92,ksa,8.676,9.64,74.15
1999796,Rasees,189,"Aug 14, 2025",rs92,ksa,12.883,14.31,110.11
1999794,Rasees,189,"Aug 14, 2025",rs92,ksa,16.684,18.54,142.6
1999795,Rasees,189,"Aug 14, 2025",rs94,ksa,6.932,7.7,59.25
1999799,Rasees,189,"Aug 14, 2025",rs94,ksa,5.216,5.8,44.58
1999801,Rasees,10393,"Aug 14, 2025",rs95,ksa,9.304,14.31,110.11
1999798,Rasees,6669,"Aug 14, 2025",tt135,ksa,3.81,5.86,45.09
1999797,Rasees,6669,"Aug 14, 2025",tt135,ksa,4.017,6.18,47.54
1996679,Rasees,6669,"Aug 13, 2025",tt135,ksa,6.266,9.64,74.15
1996685,Rasees,8274,"Aug 13, 2025",rs6,ksa,3.148,4.09,31.45
1996678,Rasees,2345,"Aug 13, 2025",tt19,ksa,8.67578,9.64,74.15
1996681,Rasees,14465,"Aug 13, 2025",rs53,ksa,13.347,14.83,114.08
1996680,Rasees,6729,"Aug 13, 2025",tt87,ksa,3.148,4.09,31.45
1996683,Rasees,14465,"Aug 13, 2025",rs53,ksa,3.68,4.09,31.45
1996682,Rasees,189,"Aug 13, 2025",rs94,ksa,8.676,9.64,74.15
1996684,Rasees,6728,"Aug 13, 2025",tt99,ksa,3.148,4.09,31.45
1996133,Rasees,7847,"Aug 12, 2025",rs30,ksa,8.047,12.38,95.23
1996131,Rasees,189,"Aug 12, 2025",rs92,ksa,8.963,9.96,76.61
1996130,Rasees,2345,"Aug 12, 2025",tt18,ksa,3.96708,4.41,33.91
1996136,Rasees,6669,"Aug 12, 2025",tt137,ksa,5.7,8.77,67.46
1996134,Rasees,2345,"Aug 12, 2025",tt19,ksa,5.27561,5.86,45.09
1996137,Rasees,2345,"Aug 12, 2025",tt19,ksa,8.67578,9.64,74.15
1996132,Rasees,189,"Aug 12, 2025",rs92,ksa,9.808,10.9,83.83
1996135,Rasees,2345,"Aug 12, 2025",tt27,ksa,12.8831,14.31,110.11
1996129,Rasees,2345,"Aug 12, 2025",tt27,ksa,8.67578,9.64,74.15
1989676,Rasees,189,"Aug 11, 2025",rs94,ksa,25.215,28.02,215.51
1989668,Rasees,6669,"Aug 11, 2025",tt135,ksa,4.799,7.38,56.79
1989669,Rasees,2345,"Aug 11, 2025",tt27,ksa,8.67578,9.64,74.15
1989677,Rasees,8274,"Aug 11, 2025",rs6,ksa,3.148,4.09,31.45
1989672,Rasees,6675,"Aug 11, 2025",rs98,ksa,12.883,14.31,110.11
1989673,Rasees,189,"Aug 11, 2025",rs92,ksa,9.808,10.9,83.83
1989674,Rasees,6669,"Aug 11, 2025",tt135,ksa,2.658,4.09,31.45
1989671,Rasees,189,"Aug 11, 2025",rs92,ksa,8.963,9.96,76.61
1989675,Rasees,2345,"Aug 11, 2025",tt19,ksa,8.26925,9.19,70.68
1989670,Rasees,2345,"Aug 11, 2025",tt19,ksa,6.46558,7.18,55.26
1989657,Rasees,6669,"Aug 10, 2025",tt137,ksa,8.676,13.35,102.67
1989662,Rasees,2345,"Aug 10, 2025",tt27,ksa,8.67578,9.64,74.15
1989658,Rasees,2345,"Aug 10, 2025",tt27,ksa,9.80772,10.9,83.83
1989665,Rasees,6706,"Aug 10, 2025",rs5,ksa,6.266,9.64,74.15
1989664,Rasees,6729,"Aug 10, 2025",tt87,ksa,5.71,7.42,57.04
1989663,Rasees,6729,"Aug 10, 2025",tt87,ksa,6.273,8.15,62.67
1989660,Rasees,189,"Aug 10, 2025",rs92,ksa,6.674,7.42,57.04
1989667,Rasees,2345,"Aug 10, 2025",tt27,ksa,6.67368,7.42,57.04
1989666,Rasees,2345,"Aug 10, 2025",tt19,ksa,3.68004,4.09,31.45
1989661,Rasees,6675,"Aug 10, 2025",bf4,ksa,3.967,4.41,33.91
1989659,Rasees,6675,"Aug 10, 2025",bf4,ksa,8.676,9.64,74.15
1989653,Rasees,189,"Aug 9, 2025",rs92,ksa,6.674,7.42,57.04
1989649,Rasees,6675,"Aug 9, 2025",bf4,ksa,6.932,7.7,59.25
1989655,Rasees,6727,"Aug 9, 2025",tt35,ksa,4.82,7.42,57.04
1989650,Rasees,189,"Aug 9, 2025",rs92,ksa,8.676,9.64,74.15
1989651,Rasees,189,"Aug 9, 2025",rs92,ksa,3.68,4.09,31.45
1989656,Rasees,7010,"Aug 9, 2025",tt88,ksa,2.658,4.09,31.45
1989652,Rasees,6706,"Aug 9, 2025",rs5,ksa,4.82,7.42,57.04
1989654,Rasees,6706,"Aug 9, 2025",rs5,ksa,6.473,9.96,76.61
1986201,Rasees,9363,"Aug 8, 2025",tt93,ksa,6.266,9.64,74.15
1986204,Rasees,6669,"Aug 8, 2025",tt137,ksa,7.391,11.37,87.47
1986205,Rasees,189,"Aug 8, 2025",rs93,ksa,6.09,6.77,52.05
1986202,Rasees,189,"Aug 8, 2025",rs94,ksa,2.778,3.09,23.75
1986203,Rasees,1,"Aug 8, 2025",rs20,ksa,0,4.09,31.45
1986200,Rasees,2345,"Aug 8, 2025",tt27,ksa,8.67578,9.64,74.15
1986206,Rasees,189,"Aug 8, 2025",rs63,ksa,8.676,9.64,74.15
1986199,Rasees,6669,"Aug 8, 2025",tt135,ksa,12.532,19.28,148.3
1986193,Rasees,6669,"Aug 7, 2025",tt135,ksa,6.266,9.64,74.15
1986197,Rasees,189,"Aug 7, 2025",rs63,ksa,5.247,5.83,44.85
1986196,Rasees,14638,"Aug 7, 2025",bf77,ksa,6.266,9.64,74.15
1986194,Rasees,2345,"Aug 7, 2025",tt27,ksa,12.01262,13.35,102.67
1986198,Rasees,14248,"Aug 7, 2025",rs62,ksa,6.266,9.64,74.15
1986195,Rasees,14465,"Aug 7, 2025",rs53,ksa,8.676,9.64,74.15
1986187,Rasees,6669,"Aug 6, 2025",tt136,ksa,9.304,14.31,110.11
1986191,Rasees,2345,"Aug 6, 2025",tt27,ksa,3.68004,4.09,31.45
1986184,Rasees,6669,"Aug 6, 2025",tt137,ksa,2.635,4.05,31.19
1986192,Rasees,2345,"Aug 6, 2025",tt18,ksa,13.28964,14.77,113.59
1986190,Rasees,2345,"Aug 6, 2025",tt18,ksa,8.67578,9.64,74.15
1986189,Rasees,189,"Aug 6, 2025",rs63,ksa,6.674,7.42,57.04
1986188,Rasees,2345,"Aug 6, 2025",tt18,ksa,3.68004,4.09,31.45
1986185,Rasees,2345,"Aug 6, 2025",tt18,ksa,3.68004,4.09,31.45
1986186,Rasees,6669,"Aug 6, 2025",tt135,ksa,2.635,4.05,31.19
1986183,Rasees,6675,"Aug 5, 2025",bf4,ksa,8.676,9.64,74.15
1986176,Rasees,6669,"Aug 5, 2025",tt136,ksa,7.23,11.12,85.56
1986178,Rasees,2345,"Aug 5, 2025",tt22,ksa,13.57949,15.09,116.06
1986181,Rasees,6671,"Aug 5, 2025",tt37,ksa,8.391,10.9,83.83
1986179,Rasees,2345,"Aug 5, 2025",tt30,ksa,25.76652,28.63,220.23
1986177,Rasees,189,"Aug 5, 2025",rs94,ksa,6.645,7.38,56.79
1986175,Rasees,6669,"Aug 5, 2025",tt135,ksa,2.658,4.09,31.45
1986182,Rasees,6669,"Aug 5, 2025",tt135,ksa,4.017,6.18,47.54
1986180,Rasees,6669,"Aug 5, 2025",tt38,ksa,6.737,10.37,79.73
1986174,Rasees,6729,"Aug 5, 2025",tt87,ksa,4.39,5.7,43.85
1986163,Rasees,6669,"Aug 4, 2025",tt136,ksa,6.266,9.64,74.15
1986162,Rasees,6669,"Aug 4, 2025",tt136,ksa,6.266,9.64,74.15
1986164,Rasees,6706,"Aug 4, 2025",rs5,ksa,2.658,4.09,31.45
1986170,Rasees,2345,"Aug 4, 2025",tt26,ksa,6.67368,7.42,57.04
1986171,Rasees,6671,"Aug 4, 2025",tt37,ksa,7.423,9.64,74.15
1986167,Rasees,7031,"Aug 4, 2025",tt54,ksa,2.658,4.09,31.45
1986165,Rasees,189,"Aug 4, 2025",rs92,ksa,6.674,7.42,57.04
1986172,Rasees,189,"Aug 4, 2025",rs92,ksa,13.347,14.83,114.08
1986168,Rasees,2345,"Aug 4, 2025",tt18,ksa,15.32045,17.02,130.94
1986169,Rasees,14465,"Aug 4, 2025",rs53,ksa,8.676,9.64,74.15
1986166,Rasees,189,"Aug 4, 2025",rs94,ksa,3.967,4.41,33.91
1986173,Rasees,7157,"Aug 4, 2025",tt72,ksa,6.266,9.64,74.15
1986149,Rasees,1,"Aug 3, 2025",rs20,ksa,0,9.64,74.15
1986148,Rasees,6671,"Aug 3, 2025",tt37,ksa,7.423,9.64,74.15
1986151,Rasees,6669,"Aug 3, 2025",tt135,ksa,2.658,4.09,31.45
1986150,Rasees,6669,"Aug 3, 2025",tt135,ksa,3.81,5.86,45.09
1986159,Rasees,6706,"Aug 3, 2025",rs5,ksa,6.266,9.64,74.15
1986155,Rasees,6706,"Aug 3, 2025",rs5,ksa,2.658,4.09,31.45
1986147,Rasees,6669,"Aug 3, 2025",tt135,ksa,6.266,9.64,74.15
1986158,Rasees,6132,"Aug 3, 2025",tt8,ksa,4.82,7.42,57.04
1986146,Rasees,6669,"Aug 3, 2025",tt38,ksa,10.365,15.95,122.67
1986152,Rasees,6669,"Aug 3, 2025",tt38,ksa,6.737,10.37,79.73
1986154,Rasees,6669,"Aug 3, 2025",tt38,ksa,5.183,7.97,61.33
1986161,Rasees,6669,"Aug 3, 2025",tt38,ksa,13.475,20.73,159.47
1986160,Rasees,189,"Aug 3, 2025",rs92,ksa,6.674,7.42,57.04
1986156,Rasees,189,"Aug 3, 2025",rs64,ksa,8.676,9.64,74.15
1986157,Rasees,7083,"Aug 3, 2025",rs45,ksa,1.82,2.8,21.53
1986153,Rasees,189,"Aug 3, 2025",rs93,ksa,8.676,9.64,74.15
1986132,Rasees,2345,"Aug 2, 2025",tt18,ksa,3.68004,4.09,31.45
1986133,Rasees,2345,"Aug 2, 2025",tt18,ksa,8.67578,9.64,74.15
1986143,Rasees,6671,"Aug 2, 2025",tt37,ksa,13.132,17.05,131.19
1986141,Rasees,189,"Aug 2, 2025",rs92,ksa,5.563,6.18,47.54
1986137,Rasees,6706,"Aug 2, 2025",rs5,ksa,5.027,7.73,59.49
1986134,Rasees,14638,"Aug 2, 2025",bf77,ksa,4.191,6.45,49.6
1986145,Rasees,2345,"Aug 2, 2025",tt26,ksa,13.17014,14.63,112.57
1986142,Rasees,189,"Aug 2, 2025",rs92,ksa,3.967,4.41,33.91
1986139,Rasees,6669,"Aug 2, 2025",tt137,ksa,6.266,9.64,74.15
1986135,Rasees,7847,"Aug 2, 2025",rs30,ksa,3.997,6.15,47.3
1986138,Rasees,14248,"Aug 2, 2025",rs62,ksa,6.266,9.64,74.15
1986144,Rasees,2345,"Aug 2, 2025",tt18,ksa,8.67578,9.64,74.15
1986136,Rasees,189,"Aug 2, 2025",rs64,ksa,15.347,17.05,131.17
1986140,Rasees,2345,"Aug 2, 2025",tt18,ksa,6.96072,7.73,59.49
1923593,Rasees,189,"Aug 1, 2025",rs92,ksa,8.68,9.64,74.15
1923596,Rasees,6675,"Aug 1, 2025",bf4,ksa,8.68,9.64,74.15
1923598,Rasees,6669,"Aug 1, 2025",tt38,ksa,6.74,10.37,79.73
1923597,Rasees,7847,"Aug 1, 2025",rs30,ksa,5.7,8.77,67.46
1923590,Rasees,6669,"Aug 1, 2025",tt137,ksa,4.82,7.42,57.04
1923589,Rasees,2345,"Aug 1, 2025",tt19,ksa,3.681,4.09,31.45
1923595,Rasees,2345,"Aug 1, 2025",tt18,ksa,6.642,7.38,56.79
1923591,Rasees,14580,"Aug 1, 2025",rs46,ksa,7.44,11.44,88.01
1923585,Rasees,189,"Aug 1, 2025",rs92,ksa,6.67,7.42,57.04
1923587,Rasees,6669,"Aug 1, 2025",tt135,ksa,4.19,6.45,49.6
1923586,Rasees,189,"Aug 1, 2025",rs92,ksa,8.68,9.64,74.15
1923592,Rasees,2345,"Aug 1, 2025",tt18,ksa,8.676,9.64,74.15
1923584,Rasees,2345,"Aug 1, 2025",tt18,ksa,10.008,11.12,85.56
1923588,Rasees,189,"Aug 1, 2025",rs92,ksa,24,26.66,205.1
1923594,Rasees,1,"Aug 1, 2025",rs20,ksa,0,9.64,74.15
