Order Date,customer_flag,Order Id,Coupon,country,Order Value (AED),Payout (AED)
"Aug 12, 2025",Existing Orders,3011128049,R199,KSA,193.1188,19.311880000000002
"Aug 12, 2025",Existing Orders,000907911,R199,KSA,128.7524,12.87524
"Aug 12, 2025",Existing Orders,3011128209,Z41,KSA,1520.3132,152.03132000000002
"Aug 12, 2025",Existing Orders,3011128753,ZF,KSA,244.6668,24.46668
"Aug 12, 2025",Existing Orders,3011127265,Z41,KSA,50.1858,5.01858
"Aug 12, 2025",New Orders,3011129239,ZF,KSA,50.323,5.0323
"Aug 21, 2025",Existing Orders,3011172157,R199,KSA,67.424,6.742400000000001
"Aug 21, 2025",New Orders,3011172835,R199,KSA,141.9726,14.19726
"Aug 28, 2025",Existing Orders,3011207293,R199,KSA,574.5152,57.45152000000001
"Aug 28, 2025",Existing Orders,3011206933,R199,KSA,148.3328,14.83328
"Aug 13, 2025",Existing Orders,3011133077,R199,KSA,439.7946,43.97946
"Aug 13, 2025",Existing Orders,3011135165,Z45,KSA,127.939,12.7939
"Aug 13, 2025",Existing Orders,3011135817,ZF,KSA,360.101,36.0101
"Aug 13, 2025",Existing Orders,3011134351,R199,KSA,64.533,6.4533000000000005
"Aug 5, 2025",Existing Orders,3011093509,R199,KSA,212.268,21.2268
"Aug 5, 2025",Existing Orders,000905535,R199,KSA,246.323,24.6323
"Aug 5, 2025",Existing Orders,3011094127,R199,KSA,168.854,16.8854
"Aug 5, 2025",Existing Orders,3011088781,NZ,KSA,76.2048,7.620480000000001
"Aug 24, 2025",Existing Orders,11000133481,RY,UAE,188.02476,18.802476
"Aug 24, 2025",Existing Orders,3011186619,ZF,KSA,224.322,22.4322
"Aug 27, 2025",Existing Orders,3011199577,R199,KSA,270.6074,27.06074
"Aug 27, 2025",Existing Orders,3011197373,R199,KSA,95.3736,9.53736
"Aug 29, 2025",Existing Orders,3011210953,Z47,KSA,179.4674,17.946740000000002
"Aug 29, 2025",Existing Orders,3011212887,TO,KSA,65.954,6.5954
"Aug 29, 2025",New Orders,3011212539,Z45,KSA,113.8466,11.38466
"Aug 26, 2025",New Orders,3011194999,Z45,KSA,168.9226,16.89226
"Aug 31, 2025",Existing Orders,3011222291,R199,KSA,329.9072,32.99072
"Aug 31, 2025",New Orders,3011221235,Z45,KSA,133.5544,13.35544
"Aug 31, 2025",Existing Orders,3011221691,Z47,KSA,229.1436,22.914360000000002
"Aug 7, 2025",Existing Orders,3011104141,ZF,KSA,242.8342,24.283420000000003
"Aug 22, 2025",Existing Orders,3011179219,R199,KSA,107.8196,10.78196
"Aug 10, 2025",Existing Orders,3011117337,Z40,KSA,282.1126,null
"Aug 19, 2025",Existing Orders,000910371,ZF,KSA,106.2614,10.62614
