0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1 Magic Mushrooms (150g) [1 Honey Mustard,1 Drink with Curly Fries],1 French Fries,,,,,,,,,,,,,,,,
2 Philly Cheese Steak [1 Large],,,,,,,,,,,,,,,,,,
2 Mac and Cheese,1 Honey Mustard,1 Combo 1  [1 Classic Steak,1 Crispy Cream Chicken,1 Matrix Sprite,1 Matrix Sprite],,,,,,,,,,,,,
1 Philly Cheese Steak [1 Large],1 Chicken Philly  [1 Large],1 Fire In The Hole (150g) [1 Honey Mustard,1 Drink with Curly Fries],,,,,,,,,,,,,,,
1 Honey Mustard,1 Hoagies Fried Platter,1 Steak Salad,1 Cheese Whiz,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Mac and Cheese,1 Miami Chicken [1 Regular],1 Classic Cheese Steak [1 Regular],1 Hoagies Burger  (150g) [1 Drink with Fries ],,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Miami Chicken [1 Regular ],1 Classic Cheese Steak [1 Large],,,,,,,,,,,,,,,,
1 Cheesy Fest (150g) [1 Honey Mustard],,,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Hotdog fries platter,1 Cheesy Fajita (26 Cm)     [1 Buffalo Sauce],1 Crispy Cream (26 Cm) [1 Buffalo Sauce],,,,,,,,,,,,,,,
2 Hoagies Fried Platter,1 Mushrooms (18 Cm) [1 Honey Mustard],1 El Classico (23 Cm) [1 Honey Mustard],,,,,,,,,,,,,,,,
2 French Fries,1 Hoagies Fried Platter,1 Mac and Cheese,1 Cheese Whiz,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak (18 Cm) [1 Cheese Whiz],1 Hotdog fries platter,,,,,,,,,,,,,,,,,
2 BBQ Cheesesteak (23 cm) [1 Cheese Whiz],1 Hoagies Fried Platter,,,,,,,,,,,,,,,,,
4 Philly Cheesesteak (18 Cm) [1 Cheese Whiz],4 Matrix Fanta,1 Chicken Wings [1 12 Wings],3 French Fries,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Philly Cheesesteak (18 Cm) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 BBQ Cheesesteak (23 cm) [1 Cheese Whiz,1 Drink with Curly Fries],1 BBQ Cheesesteak (23 cm) [1 Cheese Whiz],,,,,,,,,,,,,,,,
1 Classic Cheesesteak 23 cm  [1 Honey Mustard,1 Drink with Curly Fries],,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Cheesy Fajita (18 Cm) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 Classic Cheesesteak 23 cm  [1 Sweet BBQ],1 Classic Cheesesteak 23 cm  [1 Honey Mustard],1 Hoagies Fried Platter,1 Loaded Fries,,,,,,,,,,,,,,,
1 BBQ Cheesesteak (23 cm) [1 Sweet BBQ,1 Drink with Fries ],1 BBQ Cheesesteak (23 cm) [1 Honey Mustard,1 Drink with Curly Fries],,,,,,,,,,,,,,,
1 Potato Wedges,,,,,,,,,,,,,,,,,,
1 Homemade Nuggets  [1 Cheese Whiz],1 Mushrooms Cheesesteak (18 Cm) [1 Honey Mustard],,,,,,,,,,,,,,,,,
1 Classic Cheesesteak 23 cm  [1 Buffalo Sauce,1 Drink with Curly Fries],,,,,,,,,,,,,,,,,
1 BBQ Cheesesteak (23 cm) [1 Honey Mustard,1 Drink with Fries ],,,,,,,,,,,,,,,,,
1 Homemade Nuggets  [1 Cheese Whiz],1 Chicken Salad,1 Classic Cheesesteak 23 cm  [1 Buffalo Sauce],1 BBQ Cheesesteak (23 cm) [1 Sweet BBQ,1 Drink with Curly Fries],1 Mozzarella Sticks,1 Crispy Lava. (23 Cm ) [1 Sweet BBQ,1 Drink with Curly Fries],1 Crispy Lava. (23 Cm ) [1 Honey Mustard,1 Drink with Curly Fries],1 Chicken Strips [1 Cheese Whiz],,,,,,,,
1 Philly Cheesesteak  (23 Cm) [1 Honey Mustard,1 Drink with Curly Fries],1 Chicken Philly 23 cm [1 Drink with Fries ],,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,2 Classic Cheesesteak 23 cm  [1 Cheese Whiz],1 Chicken Philly 23 cm,,,,,,,,,,,,,,,,
1 BBQ Cheesesteak (23 cm) [1 Cheese Whiz],1 Classic Cheesesteak 23 cm  [1 Honey Mustard],1 Hoagies Fried Platter,,,,,,,,,,,,,,,,
1 Classic Cheesesteak 23 cm  [1 Cheese Whiz],,,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Hotdog fries platter,,,,,,,,,,,,,,,,,
1 Hotdog fries platter,1 Mac and Cheese,1 Magic Mushrooms (150g) [1 Cheese Whiz],,,,,,,,,,,,,,,,
1 Jumbo Hot Dog. [1 Honey Mustard],1 Philly Cheesesteak (18 Cm) [1 Cheese Whiz,1 Drink with Fries ],,,,,,,,,,,,,,,,
1 Classic Cheesesteak 23 cm  [1 Cheese Whiz,1 Drink with Potato Wedges ],,,,,,,,,,,,,,,,,
1 Classic Cheesesteak 23 cm  [1 Sweet BBQ,1 Drink with Curly Fries],1 Classic Cheesesteak 23 cm  [1 Sweet BBQ,1 Drink with Potato Wedges ],,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak (18 Cm) [1 Cheese Whiz],1 Hoagies Fried Platter,,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Chicken Philly  18 cm,1 BBQ Cheesesteak ( 18 Cm ) [1 Cheese Whiz],1 French Fries,,,,,,,,,,,,,,,
1 Philly Cheesesteak (18 Cm) [1 Cheese Whiz],1 Mushrooms Cheesesteak (18 Cm) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 Cheesy Fajita (18 Cm) [1 Sweet BBQ],1 Mushrooms Cheesesteak (23 Cm) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 BBQ Cheesesteak (23 cm) [1 Honey Mustard],1 The Single Smashed Cheese Burger (75 G) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak (23 Cm) [1 Cheese Whiz,1 Drink with Potato Wedges ],1 The Single Smashed Cheese Burger (75 G) [1 Cheese Whiz],1 Buffalo Sauce,,,,,,,,,,,,,,,
1 BBQ Cheesesteak (23 cm) [1 Sweet BBQ,1 Drink with Potato Wedges ],1 Honey Mustard,1 Chipotle Mayo,,,,,,,,,,,,,,,
1 BBQ Cheesesteak (23 cm) [1 Cheese Whiz],1 Hoagies Fried Platter,,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak (18 Cm) [1 Cheese Whiz],1 Mushrooms Cheesesteak (18 Cm) [1 Sweet BBQ],,,,,,,,,,,,,,,,,
1 Crispy Cream (23 Cm) [1 Cheese Whiz,1 Drink with Fries ],1 Honey Mustard,2 Matrix Cola  250 Ml,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak (23 Cm) [1 Cheese Whiz],1 Mac and Cheese,,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak (18 Cm) [1 Sweet BBQ],1 Crispy Cream (18 Cm) [1 Cheese Whiz],1 Mac and Cheese,,,,,,,,,,,,,,,,
1 Philly Cheesesteak  (23 Cm) [1 Cheese Whiz,1 Drink with Fries ],1 Frozen Yoghurt Cookies,,,,,,,,,,,,,,,,
1 Chipotle Mayo,1 Philly Cheesesteak (18 Cm) [1 Honey Mustard,1 Drink with Potato Wedges ],,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak (23 Cm) [1 Cheese Whiz,1 Drink with Curly Fries],,,,,,,,,,,,,,,,,
1 Classic Cheesesteak 18 cm  [1 Sweet BBQ,1 Matrix Fanta],,,,,,,,,,,,,,,,,
1 Philly Cheesesteak (18 Cm) [1 Sweet BBQ],,,,,,,,,,,,,,,,,,
1 Crispy Cream (18 Cm) [1 Honey Mustard],1 Matrix Cola  250 Ml,1 Hoagies Fried Platter,,,,,,,,,,,,,,,,
1 Crispy Cream (23 Cm) [1 Honey Mustard],1 Classic Cheesesteak 18 cm  [1 Cheese Whiz,1 Matrix Sprite],1 Crispy Lava (18 Cm) [1 Honey Mustard],,,,,,,,,,,,,,,
1 BBQ Cheesesteak (23 cm) [1 Honey Mustard],1 Hoagies Fried Platter,,,,,,,,,,,,,,,,,
1 Classic Cheesesteak 23 cm  [1 Sweet BBQ],,,,,,,,,,,,,,,,,,
1 Chicken Philly  18 cm [1 Drink with Curly Fries],,,,,,,,,,,,,,,,,,
1 Classic Cheesesteak 23 cm  [1 Chipotle Mayo,1 Drink with Fries ],,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 BBQ Cheesesteak (23 cm) [1 Sweet BBQ,1 Drink with Potato Wedges ],1 Classic Cheesesteak 23 cm  [1 Cheese Whiz],1 Miami Chicken 23 cm,,,,,,,,,,,,,,
1 Mac and Cheese,2 Philly Cheese Steak [1 Large],1 Mushrooms Chicken Steak Alfredo [1 Regular ],2 Mixed Fries,1 Chipotle Mayo,,,,,,,,,,,,,,
1 Chicken Breast Platter  [1 Coleslaw,1 French Fries ],1 Hot Dog [1 Shredded Cheedar,1 Ketchup,1 American Mustrad,1 Pickled Jalapeños,1 Crushed potato Chips,1 Drink with Curly Fries],1 BBQ Cheesesteak [1 Large],1 Homemade Nuggets  [1 Cheese Whiz,1 Matrix Up 250 Ml,1 French Fries ],,,,,,,
1 Mushrooms Cheese steak [1 Large],1 French Fries,,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Philly Cheesesteak [1 Regular],1 Mushrooms Cheesesteak [1 Regular ],1 The Single Smashed Cheese Burger (75 G) [1 Cheese Whiz],,,,,,,,,,,,,,,
1 Cheeseburger,1 Mozzarella Sticks,1 Cheesy Fries,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Large],1 Curly Fries,1 Mac and Cheese,,,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Large],1 Cheesy Fries,,,,,,,,,,,,,,,,,
1 Crispy Cream [1 Regular],1 Chicken Strips [1 Honey Mustard],,,,,,,,,,,,,,,,,
1 Mushroom Chicken Alfredo [1 Regular ],1 Mushrooms Cheesesteak [1 Regular ],,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Philly Cheesesteak [1 Regular],1 Shawerma Steak [1 Large],1 French Fries,1 Steak Salad,,,,,,,,,,,,,,
1 Mushroom Chicken Alfredo [1 Regular ],1 French Fries,1 Matrix Cola  250 Ml,1 Chipotle Mayo,,,,,,,,,,,,,,,
3 Mac and Cheese,2 Matrix Cola  250 Ml,,,,,,,,,,,,,,,,,
1 Onion Rings,1 Potato Wedges,1 Philly Cheesesteak [1 Large],,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Regular],1 Miami Chicken [1 Regular ],,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Large],1 Philly Cheesesteak [1 Large],,,,,,,,,,,,,,,,,
1 Combo 1  [1 Crispy Lava Chicken,1 Chicken Mushroom,1 Matrix Sprite,1 Matrix Sprite],,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Large],1 Chicken Philly  [1 Large],1 Onion Rings,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Large],1 Classic Cheese Steak [1 Large],,,,,,,,,,,,,,,,,
1 Steak Salad,1 Mac and Cheese,1 Chicken Breast Platter  [1 Coleslaw,1 French Fries ],,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Large],1 Cheese Whiz,,,,,,,,,,,,,,,,,
1 Hotdog fries platter,2 Hoagies Fried Platter,,,,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Regular],2 Chicken Strips [1 Buffalo Sauce],1 Mozzarella Sticks,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Chicken Philly  [1 Regular],,,,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Regular],1 Classic Cheese Steak [1 Regular],1 Mushrooms Cheesesteak [1 Regular ],1 Philly Cheese Steak [1 Regular ],1 Classic Cheese Steak [1 Regular],,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Large],1 Chicken Salad,,,,,,,,,,,,,,,,,
2 Hotdog fries platter,,,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Philly Cheesesteak [1 Large],1 The Single Smashed Cheese Burger (75 G) [1 Chipotle Mayo],,,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Large],1 Philly Cheesesteak [1 Large],1 Mushrooms Cheesesteak [1 Large],1 Mushroom Chicken Alfredo [1 Regular ],1 Crispy Cream [1 Regular ],,,,,,,,,,,,,,
1 Cheesy Fest (150g) [1 Cheese Whiz,1 Drink with Curly Fries],1 Loaded Fries,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Buffalo Sauce,1 Cheesy Fries,1 Drinking water,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Cheese Whiz,1 Potato Wedges,,,,,,,,,,,,,,,,
1 Fire In The Hole (150g) [1 Buffalo Sauce,1 Drink with Potato Wedges ],,,,,,,,,,,,,,,,,
1 Combo 2 [1 Philly Steak,1 Mushroom Steak,1 Strips,1 Cheese Whiz,1 Matrix Sprite,1 Matrix Sprite],,,,,,,,,,,,,
1 Combo 2 [1 Crispy Cream Chicken,1 BBQ Steak,1 Strips,1 Cheese Whiz,1 Matrix Cola,1 Matrix Cola],1 BBQ Cheesesteak [1 Regular ],,,,,,,,,,,,
1 Classic Cheese Steak [1 Large],1 Cheesy Fest (150g) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 Da Philly (23 Cm) [1 Buffalo Sauce,1 Onion Rings],,,,,,,,,,,,,,,,,
1 Combo 1  [1 Mushroom Steak,1 Mushroom Steak,1 Matrix Cola,1 Matrix Cola],1 Chicken Wings [1 5 Wings ],1 Honey Mustard,1 Mushrooms (23 Cm) [1 Cheese Whiz,1 French Fries ],2 Cheese Whiz,1 Mozzarella Sticks,1 Onion Rings,,,,,,,,
2 Hotdog fries platter,1 Mushrooms (23 Cm) [1 Cheese Whiz,1  Matrix Cola  250 Ml,1 Onion Rings],1 Chicken Strips [1 Sweet BBQ],,,,,,,,,,,,,,
1 Drinking water,1 El Classico (23 Cm) [1 Cheese Whiz,1  Matrix Cola  250 Ml,1 French Fries ],,,,,,,,,,,,,,,
1 Mushrooms (18 Cm) [1 Buffalo Sauce],1 Cheesy Fajita (18 Cm) [1 Honey Mustard],,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Homemade Nuggets  [1 Buffalo Sauce],,,,,,,,,,,,,,,,,
1 Mushrooms (23 Cm) [1 Sweet BBQ,1 French Fries ],,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Smashed Double Burger (150g) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 Da Philly (23 Cm) [1 Cheese Whiz,1  Matrix Cola  250 Ml,1 French Fries ],,,,,,,,,,,,,,,,
1 Mac and Cheese,2 Da Philly (18 Cm) [1 Honey Mustard],1 Chicken Strips [1 Honey Mustard],2 French Fries,1 El Classico (18 Cm) [1 Sweet BBQ],5 Matrix Cola  250 Ml,,,,,,,,,,,,,
2 Chipotle Mayo,1 Smashed Double Burger (150g) [1 Cheese Whiz],1 French Fries,,,,,,,,,,,,,,,,
1 Magic Mushrooms (150g) [1 Cheese Whiz,1 Matrix Up 250 Ml ],1 Mushroom Chicken (18 Cm),,,,,,,,,,,,,,,,
1 Hotdog fries platter,1 Mushrooms (18 Cm) [1 Sweet BBQ],1 Sweet BBQ ( 18 Cm ) [1 Cheese Whiz],,,,,,,,,,,,,,,,
1 Mushrooms (23 Cm) [1 Cheese Whiz],1 Cheesy Fest (150g) [1 Sweet BBQ],,,,,,,,,,,,,,,,,
1 Mushroom Chicken (26 Cm) [1 Cheese Whiz,1  Matrix Cola  250 Ml ],1 French Fries,,,,,,,,,,,,,,,,
1 Smashed Double Burger (150g) [1 Honey Mustard,1 French Fries ],,,,,,,,,,,,,,,,,
1 Sweet BBQ (23 cm) [1 Sweet BBQ,1 French Fries ],,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Cheesy Fajita (26 Cm)     [1 Honey Mustard],1 Matrix Cola  250 Ml,,,,,,,,,,,,,,,,
1 Mushrooms (23 Cm) [1 Cheese Whiz],1 Cheesy Fries,,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 French Fries,,,,,,,,,,,,,,,,,
1 Cheesy Fries,1 Crispy Cream (26 Cm) [1 Sweet BBQ],,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Mushroom Chicken (18 Cm),1 Matrix Sprite,,,,,,,,,,,,,,,,
1 Da Philly (23 Cm) [1 Sweet BBQ],1 Sweet BBQ,,,,,,,,,,,,,,,,,
2 Honey Mustard,1 Combo 1  [1 Mushroom Steak,1 Shawerma Steak,1 Matrix Cola,1 Matrix Cola],1 Sweet BBQ,1 Chipotle Mayo,1 Chicken Wings [1 8 Wings ],1 Onion Rings,1 Mozzarella Sticks,,,,,,,,,
1 Da Philly (18 Cm) [1 Honey Mustard],1 Smashed Double Burger (150g) [1 Cheese Whiz,1 French Fries ],1 Mushrooms (18 Cm) [1 Honey Mustard],,,,,,,,,,,,,,,
1 Mushrooms (18 Cm) [1 Cheese Whiz,1  Matrix Cola  250 Ml,1 Mozarella Sticks],,,,,,,,,,,,,,,,
1 Da Philly (18 Cm) [1 Sweet BBQ],1 Mushrooms (18 Cm) [1 Honey Mustard],1 El Classico (18 Cm) [1 Sweet BBQ],1 Mushrooms (18 Cm) [1 Sweet BBQ],,,,,,,,,,,,,,,
1 Cheesy Fajita (18 Cm) [1 Buffalo Sauce,1 Matrix Up 250 Ml,1 French Fries ],,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Cheesy Fajita (26 Cm)     [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 Da Philly (23 Cm) [1 Cheese Whiz,1 French Fries ],1 Honey Mustard,,,,,,,,,,,,,,,,
1 Smashed Double Burger (150g) [1 Cheese Whiz,1 Mozarella Sticks,1 French Fries ],,,,,,,,,,,,,,,,
1 Crispy Cream (26 Cm) [1 Cheese Whiz,1  Matrix Cola  250 Ml,1 French Fries ],1 Mushroom Chicken (26 Cm) [1 Cheese Whiz,1 French Fries ],,,,,,,,,,,,,,
1 Cheesy Fajita (26 Cm)     [1 Honey Mustard,1 Matrix Up 250 Ml ],1 French Fries,,,,,,,,,,,,,,,,
1 Crispy Lava. (26 Cm ) [1 Sweet BBQ,1 Onion Rings],1 Matrix Sprite,1 Hot Dog [1 Honey Mustard],,,,,,,,,,,,,,,
1 Cheesy Fajita (18 Cm) [1 Cheese Whiz],1 Chipotle Mayo,1 Cheesy Fries,,,,,,,,,,,,,,,,
1 Da Philly (18 Cm) [1 Cheese Whiz,1 French Fries ],1 The Single Smashed Cheese Burger (75 G) [1 Sweet BBQ],,,,,,,,,,,,,,,,
1 Magic Mushrooms (150g) [1 Honey Mustard],1 Hoagies Fried Platter,1 Matrix Sprite,,,,,,,,,,,,,,,,
1 French Fries,1 Chipotle Mayo,,,,,,,,,,,,,,,,,
1 Shawarma steak sandwich 18  [1 Cheese Whiz],2 Mushrooms (18 Cm) [1 Cheese Whiz],1 Cheesy Fries,1 Chicken Strips [1 Honey Mustard],1 Onion Rings,3 French Fries,,,,,,,,,,,,,
1 El Classico (23 Cm) [1 Sweet BBQ],1 Combo 1  [1 Philly Steak,1 Cheesy Fajita Chicken,1 Matrix Cola,1 Matrix Cola],,,,,,,,,,,,,,
1 Mushrooms (23 Cm) [1 Buffalo Sauce],1 French Fries,1 Onion Rings,,,,,,,,,,,,,,,,
2 Da Philly (18 Cm) [1 Sweet BBQ],,,,,,,,,,,,,,,,,,
1 Chipotle Mayo,1 El Classico (18 Cm) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Hoagies Fried Platter,1 El Classico (18 Cm) [1 Cheese Whiz],1 Da Philly (18 Cm) [1 Cheese Whiz],1 Chicken Strips [1 Honey Mustard],1 Jumbo Hot Dog. [1 Cheese Whiz],1 Chipotle Mayo,1 Crispy Cream (18 Cm) [1 Cheese Whiz],2 Sweet BBQ,,,,,,,,,,
1 Combo 3 [1 Mushroom Steak,1 Mushroom Steak,1 Mushroom Chicken,1 Mushroom Chicken,1 Matrix Cola,1 Matrix Cola,1 Matrix Sprite,1 Matrix Sprite],1 Chicken Strips [1 Honey Mustard],1 Mushroom Chicken (18 Cm) [1  Matrix Cola  250 Ml,1 French Fries ],,,,,,,,
1 Mac and Cheese,1 Da Philly (18 Cm) [1 Buffalo Sauce,1  Matrix Cola  250 Ml ],,,,,,,,,,,,,,,,
1 El Classico (18 Cm) [1 Cheese Whiz],1 Da Philly (18 Cm) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 Mushrooms (18 Cm) [1 Honey Mustard],,,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Da Philly (23 Cm) [1 Cheese Whiz,1  Matrix Cola  250 Ml ],,,,,,,,,,,,,,,,
1 Magic Mushrooms (150g) [1 Cheese Whiz],1 Sweet BBQ ( 18 Cm ) [1 Cheese Whiz],1 Hoagies Fried Platter,1 Mushroom Chicken (18 Cm),,,,,,,,,,,,,,,
1 Da Philly (23 Cm) [1 Cheese Whiz],,,,,,,,,,,,,,,,,,
1 Crispy Cream (26 Cm) [1 Cheese Whiz],1 Matrix Cola  250 Ml,,,,,,,,,,,,,,,,,
1 El Classico (18 Cm) [1 Sweet BBQ,1 French Fries ],,,,,,,,,,,,,,,,,
1 Mushrooms (18 Cm) [1 Cheese Whiz,1 Mozarella Sticks,1 French Fries ],,,,,,,,,,,,,,,,
1 El Classico (18 Cm) [1 Cheese Whiz],1 Cheesy Fries,,,,,,,,,,,,,,,,,
1 Mushrooms (18 Cm) [1 Cheese Whiz,1  Matrix Cola  250 Ml ],,,,,,,,,,,,,,,,,
2 Mushrooms (18 Cm) [1 Cheese Whiz],1 Cheesy Fajita (18 Cm) [1 Cheese Whiz,1 Mozarella Sticks,1 French Fries ],,,,,,,,,,,,,,,
1 El Classico (18 Cm) [1 Honey Mustard,1  Matrix Orange 250 Ml,1 French Fries ],,,,,,,,,,,,,,,,
1 Da Philly (23 Cm) [1 Cheese Whiz],1 Mushrooms (18 Cm) [1 Honey Mustard],1 French Fries,,,,,,,,,,,,,,,,
2 El Classico (18 Cm) [1 Cheese Whiz,1 French Fries ],,,,,,,,,,,,,,,,,
1 El Classico (18 Cm) [1 Sweet BBQ,1 Matrix Up 250 Ml,1 French Fries ],1 Sweet BBQ ( 18 Cm ) [1 Sweet BBQ],,,,,,,,,,,,,,,
1 Combo 1  [1 Mushroom Steak,1 Crispy Cream Chicken,1 Matrix Sprite,1 Matrix Cola],,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 El Classico (18 Cm) [1 Sweet BBQ],1 Mushrooms (18 Cm) [1 Buffalo Sauce,1 Matrix Up 250 Ml,1 Onion Rings],2 Cheese Whiz,,,,,,,,,,,,,
1 Da Philly (23 Cm) [1 Sweet BBQ,1 French Fries ],,,,,,,,,,,,,,,,,
1 Mushrooms (18 Cm) [1 Cheese Whiz,1 Mozarella Sticks,1 French Fries ],1 Cheesy Fajita (18 Cm) [1 Buffalo Sauce],1 Hot Dog [1 Honey Mustard,1 French Fries ],1 Hot Dog [1 Cheese Whiz],,,,,,,,,,,,
1 Mushrooms (23 Cm) [1 Honey Mustard,1  Matrix Cola  250 Ml,1 French Fries ],1 Mushroom Chicken (26 Cm) [1 Cheese Whiz,1  Matrix Cola  250 Ml,1 French Fries ],1 Crispy Cream (26 Cm) [1 Cheese Whiz,1  Matrix Cola  250 Ml,1 Onion Rings,1 Mozarella Sticks,1 French Fries ],,,,,,,,
1 El Classico (23 Cm) [1 Cheese Whiz],1 The Single Smashed Cheese Burger (75 G) [1 Cheese Whiz,1 Onion Rings],1 The Single Smashed Cheese Burger (75 G) [1 Cheese Whiz],1 Magic Mushrooms (150g) [1 Honey Mustard,1 French Fries ],,,,,,,,,,,,,
1 Mushrooms (18 Cm) [1 Buffalo Sauce,1 Onion Rings],1 Honey Mustard,,,,,,,,,,,,,,,,
1 El Classico (18 Cm) [1 Sweet BBQ],1 Mac and Cheese,1 Mushrooms (18 Cm) [1 Honey Mustard],,,,,,,,,,,,,,,,
1 Da Philly (18 Cm) [1 Cheese Whiz,1 French Fries ],1 El Classico (18 Cm) [1 Cheese Whiz],,,,,,,,,,,,,,,,
1 Da Philly (18 Cm) [1 Sweet BBQ,1  Matrix Cola  250 Ml,1 Mozarella Sticks],,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Mushrooms (18 Cm) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 French Fries,1 El Classico (23 Cm) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 The Single Smashed Cheese Burger (75 G) [1 Cheese Whiz],1 El Classico (18 Cm) [1 Cheese Whiz],1 French Fries,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Hoagies Fried Platter,1 Hotdog fries platter,1 Cheese Whiz,1 Cheesy Fajita (26 Cm)     [1 Cheese Whiz],1 Crispy Cream (26 Cm) [1 Cheese Whiz],1 Da Philly (23 Cm) [1 Cheese Whiz,1 Matrix Up 250 Ml ],2 Matrix Fanta,,,,,,,,,,
1 El Classico (18 Cm) [1 Sweet BBQ],1 Mushroom Chicken (18 Cm),1 Matrix Cola  250 Ml,,,,,,,,,,,,,,,,
1 El Classico (18 Cm) [1 Honey Mustard],1 Mushrooms (18 Cm) [1 Cheese Whiz],1 French Fries,,,,,,,,,,,,,,,,
1 Crispy Lava (18 Cm) [1 Honey Mustard],1 Honey Mustard,,,,,,,,,,,,,,,,,
1 Mushrooms (18 Cm) [1 Cheese Whiz,1 Matrix Up 250 Ml,1 Onion Rings,1 Mozarella Sticks,1 French Fries ],1 Chipotle Mayo,,,,,,,,,,,,,
1 Da Philly (18 Cm) [1 Cheese Whiz],1 Da Philly (23 Cm) [1 Cheese Whiz,1  Matrix Cola  250 Ml ],1 Matrix Cola  250 Ml,,,,,,,,,,,,,,,
1 El Classico (18 Cm) [1 Cheese Whiz,1 Mozarella Sticks],1 Hotdog fries platter,1 Crispy Cream (18 Cm) [1 Cheese Whiz,1 French Fries ],1 Shawarma steak sandwich 18  [1 Sweet BBQ],1 Mushrooms (23 Cm) [1 Honey Mustard],,,,,,,,,,,,
1 Crispy Lava. (26 Cm ) [1 Honey Mustard],1 El Classico (18 Cm) [1 Sweet BBQ],,,,,,,,,,,,,,,,,
1 Cheesy Fries,1 Mushrooms (18 Cm) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 El Classico (18 Cm) [1 Cheese Whiz,1 Mozarella Sticks,1 French Fries ],1 Mushrooms (18 Cm) [1 Cheese Whiz],1 Homemade Nuggets  [1 Cheese Whiz],1 Crispy Cream (18 Cm) [1 Buffalo Sauce],,,,,,,,,,,,,
1 Da Philly (18 Cm) [1 Cheese Whiz,1 French Fries ],,,,,,,,,,,,,,,,,
1 El Classico (18 Cm) [1 Buffalo Sauce],1 Hoagies Fried Platter,,,,,,,,,,,,,,,,,
1 Mushrooms (18 Cm) [1 Cheese Whiz,1  Matrix Cola  250 Ml ],1 Cheesy Fries,,,,,,,,,,,,,,,,
1 Smashed Double Burger (150g) [1 Cheese Whiz],1 Mac and Cheese,1 El Classico (18 Cm) [1 Cheese Whiz],1 Chipotle Mayo,,,,,,,,,,,,,,,
1 El Classico (18 Cm) [1 Cheese Whiz,1 Matrix Up 250 Ml ],1 Smashed Double Burger (150g) [1 Cheese Whiz],,,,,,,,,,,,,,,,
1 Chicken Wings [1 12 Wings],1 El Classico (18 Cm) [1 Buffalo Sauce],,,,,,,,,,,,,,,,,
1 El Classico (18 Cm) [1 Honey Mustard],1 Cheesy Fries,,,,,,,,,,,,,,,,,
