0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1 Cheesy Fest (150g) [1 Chipotle Mayo],1 Chicken Salad,,,,,,,,,,,,,,,,,
1 Combo 1  [1 Crispy Lava Chicken,1 Classic Steak,1 Matrix Cola,1 Matrix Cola],,,,,,,,,,,,,,,
2 Philly Cheesesteak [1 Regular],1 Cheesy Fries,,,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Regular],1 Mushrooms Cheesesteak [1 Large],1 Mozzarella Sticks,,,,,,,,,,,,,,,,
1 Combo 1  [1 Classic Steak,1 Philly Steak,1 Matrix Cola,1 Matrix Cola],1 Mushrooms Cheesesteak [1 Large],,,,,,,,,,,,,,
1 Combo 1  [1 Crispy Lava Chicken,1 Classic Steak,1 Matrix Cola,1 Matrix Cola],1 Magic Mushrooms (150g) [1 Sweet BBQ],,,,,,,,,,,,,,
1 Combo 3 [1 Steak Sweet BBQ,1 BBQ Steak,1 Mushroom Steak,1 Mushroom Steak,1 Matrix Fanta,1 Matrix Sprite,1 Matrix Sprite,1 Matrix Sprite],,,,,,,,,,,
1 Classic Cheese Steak [1 Large],2 Matrix Sprite,,,,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Regular],,,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Large],1 Philly Cheese Steak [1 Large],1 Philly Cheese Steak [1 Large],1 Philly Cheese Steak [1 Large],1 Chicken Philly  [1 Large],2 Chicken Philly  [1 Large],,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Regular ],,,,,,,,,,,,,,,,,,
1 BBQ Cheesesteak [1 Large],1 Potato Wedges,1 Matrix Cola  250 Ml,,,,,,,,,,,,,,,,
1 Cheesy Fries,1 Matrix Fanta,,,,,,,,,,,,,,,,,
1 Loaded Fries,1 Mac and Cheese,1 Magic Mushrooms (150g) [1 Honey Mustard],,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Regular],1 Cheesy Fest (150g) [1 Chipotle Mayo,1 Drink with Fries ],,,,,,,,,,,,,,,,
1 Homemade Nuggets  [1 Sweet BBQ,1 Matrix Up 250 Ml,1 Mozarella Sticks],1 Philly Cheese Steak [1 Regular ],,,,,,,,,,,,,,,
3 Philly Cheesesteak [1 Large],,,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Large],1 Mac and Cheese,,,,,,,,,,,,,,,,,
1 Mushroom Chicken Alfredo [1 Regular ],1 Mushrooms Cheesesteak [1 Regular ],1 Magic Mushrooms (150g) [1 Honey Mustard],1 Shawerma Steak [1 Large],,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Large],1 Philly Cheese Steak [1 Large],1 Philly Cheese Steak [1 Large],1 Mushrooms Cheesesteak [1 Large],1 Classic Cheese Steak [1 Large],1 Miami Chicken [1 Large],1 BBQ Cheesesteak [1 Large],,,,,,,,,,,,
1 Chicken Salad,1 Magic Mushrooms (150g) [1 Honey Mustard],,,,,,,,,,,,,,,,,
1 BBQ Cheesesteak [1 Large],1 Homemade Nuggets  [1 Cheese Whiz,1 French Fries ],1 Loaded Fries,2 Chicken Salad,2 Mixed Fries,1 Hoagies Burger  (150g),1 Potato Wedges,1 The Single Smashed Cheese Burger (75 G) [1 Cheese Whiz,1 Drink with Curly Fries],1 The Single Smashed Cheese Burger (75 G) [1 Cheese Whiz],1 BBQ Cheesesteak [1 Large],2 Chicken Strips [1 Buffalo Sauce],,,,,,
1 Cheesy Fries,1 Mozzarella Sticks,,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Regular ],1 The Single Smashed Cheese Burger (75 G) [1 Chipotle Mayo],,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Regular ],1 Curly Fries,1 Cheese Whiz,1 Mac and Cheese,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Large],1 Matrix Sprite,,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Large],1 Cheesy Fries,,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Chicken Philly  [1 Regular],1 Miami Chicken [1 Large],1 Crispy Lava  [1 Large ],,,,,,,,,,,,,,,
2 Classic Cheese Steak [1 Large],,,,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Regular],1 Cheesy Fries,1 Hoagies Fried Platter,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Regular ],1 BBQ Cheesesteak [1 Regular ],2 Mac and Cheese,1 Classic Cheese Steak [1 Large],1 French Fries,,,,,,,,,,,,,,
2 Chicken Salad,1 Loaded Fries,1 Loaded Fries,1 Chicken Salad,1 Steak Salad,,,,,,,,,,,,,,
1 Magic Mushrooms (150g) [1 Chipotle Mayo],1 Chipotle Mayo,,,,,,,,,,,,,,,,,
1 Steak Salad,1 Chicken Salad,,,,,,,,,,,,,,,,,
1 Magic Mushrooms (150g) [1 Honey Mustard],1 Crispy Cream [1 Regular],,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Regular ],2 Chicken Philly  [1 Regular ],,,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Large],,,,,,,,,,,,,,,,,,
1 Hoagies Burger  (150g),1 Hoagies Fried Platter,1 Hot Dog [1 Shredded Cheedar,1 Ketchup,1 American Mustrad,1 Diced Tomatoes,1 Crushed potato Chips],1 Cheese Whiz,1 Honey Mustard,1 Chipotle Mayo,,,,,,,,,
1 Hoagies Fried Platter,1 Honey Mustard,1 Cheesy Fest (150g) [1 Cheese Whiz,1 Drink with Fries ],1 Cheesy Fest (150g) [1 Honey Mustard],2 Matrix Cola  250 Ml,1 Matrix Sprite,1 Matrix Fanta,,,,,,,,,,,
1 Honey Mustard,1 Philly Cheese Steak [1 Regular ],,,,,,,,,,,,,,,,,
1 The Single Smashed Cheese Burger (75 G) [1 Honey Mustard,1 Drink with Fries ],1 Combo 1  [1 Classic Steak,1 Cheesy Fajita Chicken,1 Matrix Cola,1 Matrix Sprite],,,,,,,,,,,,,
1 Classic Cheese Steak [1 Regular],1 Classic Cheese Steak [1 Large],,,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Regular],1 Hot Dog,1 Chicken Philly  [1 Regular ],,,,,,,,,,,,,,,,
2 Mac and Cheese,2 Chicken Strips [1 Chipotle Mayo],,,,,,,,,,,,,,,,,
1 Sweet BBQ,1 Buffalo Sauce,1 Combo 1  [1 Classic Steak,1 BBQ Steak,1 Matrix Sprite,1 Matrix Cola],,,,,,,,,,,,,
1 Crispy Cream [1 Regular ],1 Mushroom Chicken Alfredo [1 Large],1 Classic Cheese Steak [1 Large],1 Chicken Philly  [1 Regular ],,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Regular],,,,,,,,,,,,,,,,,,
2 Fire In The Hole (150g) [1 Cheese Whiz,1 Drink with Curly Fries],1 Mushroom Chicken Alfredo [1 Regular],1 Mushroom Chicken Alfredo [1 Large],1 Philly Cheese Steak [1 Regular ],1 Mushrooms Cheesesteak [1 Regular ],,,,,,,,,,,,,
1 Mac and Cheese,1 Miami Chicken [1 Regular],,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Regular ],1 Philly Cheesesteak [1 Regular],1 Crispy Cream [1 Regular ],,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Regular ],1 Mushrooms Cheesesteak [1 Regular ],,,,,,,,,,,,,,,,,
2 Mac and Cheese,,,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Cheesy Fries,1 Sweet BBQ,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Large],1 Curly Fries,2 Matrix Fanta,,,,,,,,,,,,,,,,
1 Crispy Cream [1 Regular ],1 French Fries,,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Large],1 Hoagies Fried Platter,,,,,,,,,,,,,,,,,
1 Mac and Cheese,,,,,,,,,,,,,,,,,,
1 Cheesy Fest (150g) [1 Chipotle Mayo,1 Drink with Fries ],,,,,,,,,,,,,,,,,
1 Magic Mushrooms (150g) [1 Cheese Whiz,1 Drink with Fries ],1 Cheesy Fries,,,,,,,,,,,,,,,,
1 Magic Mushrooms (150g) [1 Honey Mustard,1 Drink with Fries ],,,,,,,,,,,,,,,,,
1 Fairouzeh Burger (150g) [1 Drink with Fries ],2 Hoagies Burger  (150g) [1 Drink with Fries ],1 Classic Cheese Steak [1 Regular],1 French Fries,1 Mozzarella Sticks,,,,,,,,,,,,,,
1 Mushroom Chicken Alfredo [1 Large],1 Combo 1  [1 Crispy Cream Chicken,1 Philly Steak,1 Matrix Cola,1 Matrix Sprite],,,,,,,,,,,,,,
1 Magic Mushrooms (150g) [1 Buffalo Sauce],,,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Philly Cheesesteak [1 Regular],1 French Fries,,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Regular],1 French Fries,1 Sweet BBQ,1 Cheese Whiz,,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Large],1 Crispy Lava  [1 Large],1 Classic Cheese Steak [1 Regular],,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Chicken Strips [1 Buffalo Sauce],1 Crispy Lava  [1 Regular ],,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Large],1 Mushroom Chicken Alfredo [1 Large],,,,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Large],1 Mushrooms Cheesesteak [1 Regular ],,,,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Large],1 Honey Mustard,,,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Regular],1 Classic Cheese Steak [1 Large],,,,,,,,,,,,,,,,,
1 Loaded Fries,1 Philly Cheesesteak [1 Large],,,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Large],1 Magic Mushrooms (150g) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 Cheesy Fest (150g) [1 Cheese Whiz],1 Hot Dog [1 Shredded Cheedar,1 Ketchup,1 Mayonnaise,1 Pickled Jalapeños,1 Dill Pickles],,,,,,,,,,,,,
1 Crispy Lava  [1 Large],,,,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Large],1 Hoagies Fried Platter,,,,,,,,,,,,,,,,,
1 Combo 1  [1 Cheesy Fajita Chicken,1 Classic Steak,1 Matrix Cola,1 Matrix Cola],1 Philly Cheese Steak [1 Regular ],1 Chipotle Mayo,,,,,,,,,,,,,
1 Combo 1  [1 Philly Steak,1 Philly Steak,1 Matrix Cola,1 Matrix Cola],,,,,,,,,,,,,,,
1 Chicken Strips [1 Buffalo Sauce,1 Mozarella Sticks],,,,,,,,,,,,,,,,,
1 Magic Mushrooms (150g) [1 Chipotle Mayo],1 Hoagies Burger  (150g),1 Classic Cheese Steak [1 Regular],,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Magic Mushrooms (150g) [1 Honey Mustard],1 Miami Chicken [1 Regular ],,,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Large],1 Mac and Cheese,,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Cheesy Fest (150g) [1 Honey Mustard],,,,,,,,,,,,,,,,,
1 Loaded Fries,1 Crispy Cream [1 Regular ],1 Matrix Cola  250 Ml,,,,,,,,,,,,,,,,
1 Fire In The Hole (150g) [1 Chipotle Mayo],1 Magic Mushrooms (150g) [1 Honey Mustard],1 Fairouzeh Burger (150g),1 Loaded Fries,,,,,,,,,,,,,,,
1 The Single Smashed Cheese Burger (75 G) [1 Chipotle Mayo],1 Classic Cheese Steak [1 Large],1 Chicken Salad,1 Magic Mushrooms (150g) [1 Chipotle Mayo,1 Drink with Curly Fries],,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Large],1 Curly Fries,,,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Large],1 Chicken Salad,,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Large],1 Jumbo Hot Dog. [1 Chipotle Mayo,1 Mozarella,1 Ketchup,1 BBQ Sauce,1 Sautéed Mushrooms,1 Crushed potato Chips],,,,,,,,,,,,
1 Combo 3 [1 Cheesy Fajita Chicken,1 Mushroom Steak,1 Steak Sweet BBQ,1 Philly Steak,1 Matrix Sprite,1 Matrix Sprite,1 Matrix Fanta,1 Matrix Cola],,,,,,,,,,,
1 Hoagies Fried Platter,1 Crispy Cream [1 Regular],1 Mac and Cheese,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Large],1 Classic Cheese Steak [1 Large],,,,,,,,,,,,,,,,,
1 Matrix Sprite,1 Hot Dog [1 Shredded Cheedar,1 Ketchup,1 Mayonnaise,1 Pickled Jalapeños,1 Dill Pickles],1 Magic Mushrooms (150g) [1 Cheese Whiz],,,,,,,,,,,,
2 Classic Cheese Steak [1 Regular],,,,,,,,,,,,,,,,,,
2 French Fries,2 Mac and Cheese,,,,,,,,,,,,,,,,,
1 Chicken Philly  [1 Regular ],1 Philly Cheesesteak [1 Regular],,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Hoagies Burger  (150g),,,,,,,,,,,,,,,,,
2 Magic Mushrooms (150g) [1 Chipotle Mayo],,,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Regular ],1 Philly Cheese Steak [1 Large],,,,,,,,,,,,,,,,,
4 Philly Cheesesteak [1 Regular],1 Philly Cheesesteak [1 Regular],,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Large],1 The Single Smashed Cheese Burger (75 G) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 Hot Dog [1 Cheese Whiz,1 Ketchup,1 Mayonnaise,1 Dill Pickles,1 Diced Tomatoes,1 Drink with Curly Fries],1 Homemade Nuggets  [1 Chipotle Mayo],,,,,,,,,,,,
2 Classic Cheese Steak [1 Regular],2 Crispy Cream [1 Regular ],1 The Single Smashed Cheese Burger (75 G) [1 Cheese Whiz],2 Matrix Cola  250 Ml,1 French Fries,1 Hoagies Fried Platter,,,,,,,,,,,,,
3 Mac and Cheese,2 Curly Fries,1 Matrix Cola  250 Ml,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Large],1 Potato Wedges,,,,,,,,,,,,,,,,,
1 Chicken Salad,1 Loaded Fries,,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Crispy Cream [1 Regular ],1 Onion Rings,1 Mushroom Chicken Alfredo [1 Regular],,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Mushroom Chicken Alfredo [1 Large],1 Classic Cheese Steak [1 Large],,,,,,,,,,,,,,,,
2 Miami Chicken [1 Regular ],,,,,,,,,,,,,,,,,,
1 Steak Salad,1 Mac and Cheese,,,,,,,,,,,,,,,,,
1 Combo 3 [1 Philly Steak,1 Chicken Mushroom,1 Crispy Cream Chicken,1 Crispy Lava Chicken,1 Matrix Cola,1 Matrix Cola,1 Matrix Sprite,1 Matrix Sprite],,,,,,,,,,,
