EVENT DATE,SOURCE,CAMPAIGN,UNIQUE ID,PUBLISHER ID,ORDER NUMBER,ORDER VALUE
"Oct 10, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0087697031,42.11659725
"Oct 10, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 9, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0029774104,390.80284425
"Oct 9, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0090758109,75.32014717499999
"Oct 9, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 9, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0045554205,369.891463988
"Oct 8, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0081669251,null
"Oct 8, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0006278851,89.424309976
"Oct 8, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0096008588,83.25373875
"Oct 8, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0091872717,223.315911
"Oct 8, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 7, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0095654055,37.900824325
"Oct 7, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0000781826,219.398088
"Oct 7, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0097116583,120.032302163
"Oct 7, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0052422641,66.602991
"Oct 7, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0012865357,452.704447651
"Oct 7, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0061097625,73.421596885
"Oct 7, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 7, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0061097625,64.331399178
"Oct 7, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0038098020,300.448051313
"Oct 6, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0002368943,126.9374652
"Oct 6, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0006723416,149.00324075
"Oct 6, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0067811363,161.561225963
"Oct 6, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0064743537,763.0450020380001
"Oct 6, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 6, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0053342956,28.893944625
"Oct 6, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0077289208,94.027752
"Oct 5, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0032561872,142.80464834999998
"Oct 5, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0034318838,114.645295538
"Oct 5, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0073803284,232.90506557599997
"Oct 5, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0045965751,233.1104685
"Oct 5, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 5, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0098700791,184.137681
"Oct 5, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0069680636,205.636734713
"Oct 5, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0056918551,350.457622289
"Oct 5, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0028475655,179.00389325
"Oct 5, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0022259501,285.854160638
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0023935491,78.503378363
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0032215556,null
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0074008250,null
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0059767349,91.921922138
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0028975752,83.302711538
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0000096568,809.6670957389999
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0098194623,208.62407475
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0050787239,59.403991238
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0081472571,39.700863475
"Oct 3, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0077735607,24.48639375
"Oct 3, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0052053443,175.32257925
"Oct 3, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0088524871,125.51725436299999
"Oct 3, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0098845512,66.051436588
"Oct 3, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 3, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0030302132,695.365123863
"Oct 3, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0018748301,600.01305
"Oct 2, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0099673884,171.159892313
"Oct 2, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 2, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0062514426,null
