Order Date,Order ID,Coupon Code,Customer Type,Order Country,Channels,Gender,Brand,Category,Gross Revenue
"Aug 12, 2025, 8:43:15 PM",APPORKSA80034007609673,KYF,Returning,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",NIKE,SNEAKERS,406.11
"Aug 12, 2025, 8:35:01 PM",APPENKSA80033007613736,DH135,Returning,Saudi Arabia,App,WOMEN,NEW BALANCE,SNEAKERS,490.41
"Aug 12, 2025, 7:23:03 PM",APPENKSA80033007593853,KYF,Returning,Saudi Arabia,App,BOY,ASICS,SNEAKERS,283.52
"Aug 12, 2025, 5:59:55 PM",APPORKSA80034007520578,KYF,Returning,Saudi Arabia,App,WOMEN,LUNA,ESPADRILLES,329.49
"Aug 12, 2025, 5:29:17 PM",APPENKSA80033007612747,KYF,Returning,Saudi Arabia,App,MEN,BRUNELLO CUCINELLI,SNEAKERS,3815.96
"Aug 12, 2025, 2:08:25 PM",APPENKSA80033007583011,KYF,Returning,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",RAINS,POUCHES,99.61
"Aug 12, 2025, 12:57:19 PM",APPORUAE80032007611434,DH40,NEW,United Arab Emirates,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",ASICS,SNEAKERS,497.14
"Aug 12, 2025, 9:32:23 AM",APPORKWT80036007459436,DH40,Returning,Kuwait,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",PUMA,SNEAKERS,440.71
"Aug 12, 2025, 12:06:30 AM",APPORUAE80032007503992,BH33,Returning,United Arab Emirates,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",LE SPECS,SUNGLASSES,240
"Aug 11, 2025, 10:28:12 PM",APPENKSA80033007199509,KYF,NEW,Saudi Arabia,App,WOMEN,JW PEI,TOP-HANDLE BAGS,510.84
"Aug 11, 2025, 10:28:12 PM",APPENKSA80033007199509,KYF,NEW,Saudi Arabia,App,WOMEN,SCHUTZ,FLAT SHOES,812.23
"Aug 11, 2025, 10:28:12 PM",APPENKSA80033007199509,KYF,NEW,Saudi Arabia,App,WOMEN,LUV LOU,SUNGLASSES,666.64
"Aug 11, 2025, 10:28:12 PM",APPENKSA80033007199509,KYF,NEW,Saudi Arabia,App,WOMEN,JW PEI,TOTES,1302.63
"Aug 11, 2025, 10:28:12 PM",APPENKSA80033007199509,KYF,NEW,Saudi Arabia,App,WOMEN,MELISSA,FLAT SHOES,597.68
"Aug 11, 2025, 9:40:49 PM",ORKSA80033007608718,DH40,NEW,Saudi Arabia,Web,WOMEN,VEJA,SNEAKERS,536.38
"Aug 11, 2025, 9:06:18 PM",APPENKSA80033007608573,DH40,NEW,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",PUMA,SNEAKERS,383.12
"Aug 11, 2025, 8:28:58 PM",APPORKSA80034007608339,KYF,NEW,Saudi Arabia,App,UNISEX,ASICS,SNEAKERS,467.41999999999996
"Aug 11, 2025, 7:39:55 PM",APPENKSA80033007603854,DH17,NEW,Saudi Arabia,App,WOMEN,ASICS,SNEAKERS,712.62
"Aug 11, 2025, 4:27:43 PM",APPORKSA80034007607267,BH33,NEW,Saudi Arabia,App,WOMEN,CONVERSE,SNEAKERS,298.84
"Aug 11, 2025, 4:12:20 PM",APPORKSA80034007603424,KYF,Returning,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",ASICS,SNEAKERS,651.32
"Aug 11, 2025, 3:04:45 PM",APPENKSA80033007604298,DH40,Returning,Saudi Arabia,App,GIRL,NEW BALANCE,SNEAKERS,314.17
"Aug 11, 2025, 1:39:24 PM",APPENKSA80033007572507,KYF,NEW,Saudi Arabia,App,WOMEN,SAM EDELMAN,FLAT SHOES,574.7
"Aug 11, 2025, 11:59:29 AM",APPENUAE80031007605676,DG44,Returning,United Arab Emirates,App,WOMEN,MARGESHERWOOD,SHOULDER BAGS,857.14
"Aug 11, 2025, 11:33:02 AM",APPENUAE80031007605625,DH40,Returning,United Arab Emirates,App,WOMEN,SCHUTZ,SANDALS,222.86
"Aug 11, 2025, 11:33:02 AM",APPENUAE80031007605625,DH40,Returning,United Arab Emirates,App,WOMEN,LUNA,SANDALS,428.57
"Aug 11, 2025, 9:49:07 AM",APPORKWT80036000017756,KYF,NEW,Kuwait,App,WOMEN,STELLA MCCARTNEY,SNEAKERS,2108.43
"Aug 11, 2025, 9:24:35 AM",APPORKSA80034007605841,KYF,Returning,Saudi Arabia,App,BOY,ASICS,SNEAKERS,283.52
"Aug 11, 2025, 9:07:02 AM",APPENUAE80031007601868,DG44,Returning,United Arab Emirates,App,WOMEN,JACQUEMUS,BELTS,1200
"Aug 11, 2025, 8:13:25 AM",APPENKSA80033007604303,KYF,Returning,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",NEW BALANCE,SNEAKERS,490.41
"Aug 11, 2025, 2:18:45 AM",APPORKWT80036007604853,BH33,NEW,Kuwait,App,UNISEX,ASICS,SNEAKERS,225.84
"Aug 11, 2025, 1:56:31 AM",APPORKSA80034007604803,KYF,NEW,Saudi Arabia,App,MEN,SPRAY GROUND,BACKPACKS,298.84
"Aug 11, 2025, 12:42:43 AM",ORKSA80033007604550,DH135,NEW,Saudi Arabia,Web,MEN,SPRAY GROUND,BACKPACKS,298.84
"Aug 11, 2025, 12:17:26 AM",APPENKSA80033007437610,KYF,Returning,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",CONVERSE,SNEAKERS,321.83
"Aug 10, 2025, 8:35:21 PM",APPORKSA80034007578715,DH40,Returning,Saudi Arabia,App,WOMEN,NEW BALANCE,SNEAKERS,444.43
"Aug 10, 2025, 8:19:56 PM",APPORKSA80034007249932,KYT,NEW,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",ADIDAS,SNEAKERS,459.76
"Aug 10, 2025, 8:12:25 PM",APPORKSA80034007603170,KYF,NEW,Saudi Arabia,App,WOMEN,TORY BURCH,TOTES,2137.86
"Aug 10, 2025, 7:52:07 PM",APPORKSA80034007404624,KYF,Returning,Saudi Arabia,App,WOMEN,ASICS,SNEAKERS,536.38
"Aug 10, 2025, 7:51:35 PM",APPORKSA80034007572008,KYF,NEW,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",ADIDAS,SNEAKERS,459.76
"Aug 10, 2025, 7:45:44 PM",APPENKSA80033007601977,KYT,Returning,Saudi Arabia,App,MEN,BARRETT,LOAFERS,1586.15
"Aug 10, 2025, 7:30:31 PM",APPORKSA80034007516926,DH40,Returning,Saudi Arabia,App,MEN,G.H.BASS,LOAFERS,743.27
"Aug 10, 2025, 6:23:46 PM",APPENKSA80033007602573,KYF,Returning,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",ADIDAS,SNEAKERS,421.44
"Aug 10, 2025, 5:38:53 PM",APPENKSA80033007588448,KYT,Returning,Saudi Arabia,App,WOMEN,UGG,FLAT SHOES,490.41
"Aug 10, 2025, 5:17:22 PM",APPENKSA80033007602326,DH40,Returning,Saudi Arabia,App,WOMEN,GOLDEN GOOSE,SNEAKERS,2022.92
"Aug 10, 2025, 4:30:57 PM",APPENUAE80031007557795,DG44,Returning,United Arab Emirates,App,WOMEN,TONY BIANCO,PUMPS,531.43
"Aug 10, 2025, 4:30:57 PM",APPENUAE80031007557795,DG44,Returning,United Arab Emirates,App,WOMEN,OSOI,SHOULDER BAGS,1422.86
"Aug 10, 2025, 3:51:38 PM",APPORKSA80034007601929,KYF,Returning,Saudi Arabia,App,WOMEN,SAM EDELMAN,FLAT SHOES,498.07
"Aug 10, 2025, 3:15:56 PM",APPENUAE80031007601482,KYF,NEW,United Arab Emirates,App,WOMEN,FENDI,SUNGLASSES,1722.86
"Aug 10, 2025, 12:40:03 PM",APPENKSA80033007598054,DH40,NEW,Saudi Arabia,App,WOMEN,NIKE,SNEAKERS,452.09
"Aug 10, 2025, 3:21:26 AM",APPORKSA80034007478576,KYF,Returning,Saudi Arabia,App,WOMEN,LUNA,ESPADRILLES,475.08
"Aug 10, 2025, 2:13:34 AM",APPORUAE80032007599253,DH40,NEW,United Arab Emirates,App,WOMEN,MULBERRY,LUGGAGE & TRAVEL BAGS,1388.57
"Aug 10, 2025, 12:42:04 AM",APPORKSA80034007563193,KYF,NEW,Saudi Arabia,App,WOMEN,LE SPECS,SUNGLASSES,222.22
"Aug 9, 2025, 11:49:02 PM",APPORKSA80034007598856,DH40,NEW,Saudi Arabia,App,MEN,NEW BALANCE,SNEAKERS,444.43
"Aug 9, 2025, 10:37:55 PM",APPENKSA80033007598529,KYT,Returning,Saudi Arabia,App,MEN,HOKA,SNEAKERS,620.67
"Aug 9, 2025, 9:02:16 PM",APPORKSA80034007570912,KYF,NEW,Saudi Arabia,App,WOMEN,SAM EDELMAN,SNEAKERS,459.76
"Aug 9, 2025, 8:01:49 PM",APPORKSA80034007498163,KYF,Returning,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",NEW BALANCE,SNEAKERS,796.9
"Aug 9, 2025, 7:37:59 PM",ORKSA80033007593504,DH135,Returning,Saudi Arabia,Web,WOMEN,LOEFFLER RANDALL,FLAT SHOES,950.15
"Aug 9, 2025, 6:46:15 PM",APPORKSA80034007596442,DH10,Returning,Saudi Arabia,App,MEN,MAGNANNI,FORMAL SHOES,1394.59
"Aug 9, 2025, 6:20:24 PM",APPENKSA80033007597222,BH6,Returning,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",NEW BALANCE,SNEAKERS,965.49
"Aug 9, 2025, 3:40:11 PM",APPORKSA80034007580422,DH40,Returning,Saudi Arabia,App,MEN,MAGNANNI,FORMAL SHOES,1394.59
"Aug 9, 2025, 1:38:37 PM",APPENKSA80033007595854,KYF,Returning,Saudi Arabia,App,WOMEN,ASICS,SNEAKERS,712.62
"Aug 9, 2025, 3:32:46 AM",APPORKSA80034007549494,BH6,Returning,Saudi Arabia,App,UNISEX,ASICS,SNEAKERS,283.52
"Aug 9, 2025, 2:32:45 AM",APPORKSA80034007500160,KYF,Returning,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",ADIDAS,SNEAKERS,613.01
"Aug 9, 2025, 1:29:03 AM",APPORKSA80034007094301,KYF,Returning,Saudi Arabia,App,WOMEN,MANC,MINI BAGS,1570.83
"Aug 9, 2025, 1:19:29 AM",APPORKSA80034007593981,KYF,Returning,Saudi Arabia,App,UNISEX,,SNEAKERS,337.16
"Aug 9, 2025, 12:55:35 AM",APPORKSA80034007574366,DH40,Returning,Saudi Arabia,App,WOMEN,BIRKENSTOCK,SANDALS,237.54
"Aug 9, 2025, 12:44:49 AM",APPENKSA80033007572151,KYF,Returning,Saudi Arabia,App,BOY,ASICS,SNEAKERS,283.52
"Aug 9, 2025, 12:24:27 AM",APPENKSA80033007593760,KYF,Returning,Saudi Arabia,App,WOMEN,SAM EDELMAN,SNEAKERS,459.76
"Aug 8, 2025, 11:13:30 PM",APPENKSA80033007582542,KYF,Returning,Saudi Arabia,App,WOMEN,SAM EDELMAN,FLAT SHOES,574.7
"Aug 8, 2025, 11:00:04 PM",APPORKSA80034007588959,KYT,Returning,Saudi Arabia,App,GIRL,NEW BALANCE,SNEAKERS,298.84
"Aug 8, 2025, 10:27:48 PM",APPENKSA80033007583365,DH135,NEW,Saudi Arabia,App,WOMEN,SCAROSSO,FLAT SHOES,1034.45
"Aug 8, 2025, 5:44:47 PM",APPENKSA80033007591787,KYF,Returning,Saudi Arabia,App,WOMEN,APL,SNEAKERS,1164.72
"Aug 8, 2025, 3:54:18 PM",APPORKSA80034007591319,KYF,NEW,Saudi Arabia,App,WOMEN,NEW BALANCE,SNEAKERS,490.41
"Aug 8, 2025, 2:49:19 PM",APPORKSA80034007591055,KYT,NEW,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",ASICS,SNEAKERS,383.12
"Aug 8, 2025, 1:47:53 PM",APPORKSA80034007162987,KYF,Returning,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",NIKE,SNEAKERS,452.09
"Aug 8, 2025, 10:48:05 AM",APPENKSA80033007590187,KYF,NEW,Saudi Arabia,App,WOMEN,AQUAZZURA,SANDALS,4214.42
"Aug 8, 2025, 5:07:40 AM",APPENKSA80033007537091,DH40,Returning,Saudi Arabia,App,MEN,MAGNANNI,SNEAKERS,1333.29
