Action Date,Action Id,Brand,Event Type,Status,Sale Amount,Action Earnings,Promo Code,SharedId
2025-07-09 17:18:50,M.15608.6399.139809,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,25.26,2.5300,D8,
2025-07-09 16:50:58,15608.6399.121097,Airalo - The World's First eSIM Store,Sale,Pending,110.49,11.0500,D26,
2025-07-09 16:41:05,M.15608.6399.114963,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,47.35,4.7400,SAHS,
2025-07-09 15:01:30,M.15608.6399.63244,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,34.73,3.4700,D25,
2025-07-09 14:55:54,M.15608.6399.60294,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,37.88,3.7900,D25,
2025-07-09 14:40:45,M.15608.6399.55913,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,SAHS,
2025-07-09 14:20:07,M.15608.6399.48046,Airalo - The World's First eSIM Store,Sale (Android App),Pending,29.99,3.0000,D26,
2025-07-09 11:01:56,M.15608.6398.1398090,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,41.04,4.1000,SAHS,
2025-07-09 10:46:01,M.15608.6398.1376936,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,28.41,2.8400,D18,
2025-07-09 08:53:02,M.15608.6398.1337893,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,14.21,1.4200,SAHS,
2025-07-09 05:33:59,15608.6398.1041784,Airalo - The World's First eSIM Store,Sale,Pending,101.02,10.1000,D42,
2025-07-09 04:09:42,M.15608.6398.974206,Airalo - The World's First eSIM Store,Sale (Android App),Pending,14.21,1.4200,D26,
2025-07-09 03:32:23,M.15608.6398.946701,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,67.07,6.7100,SAHS15,
2025-07-09 03:31:20,M.15608.6398.946679,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,119.96,12.0000,SAHS,
2025-07-09 03:06:40,M.15608.6398.926100,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,48.93,4.8900,D26,
2025-07-09 02:18:32,M.15608.6398.740154,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,99.86,9.9900,SAHS15,
2025-07-09 01:15:03,M.15608.6398.685979,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,14.21,1.4200,D38,
2025-07-08 19:45:38,M.15608.6398.268660,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,37.88,3.7900,SAHS,
2025-07-08 18:28:27,M.15608.6398.185609,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,SAHS,
2025-07-08 16:46:56,M.15608.6398.108792,Airalo - The World's First eSIM Store,Sale (Android App),Pending,15.78,1.5800,D26,
2025-07-08 16:24:54,M.15608.6398.96535,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,34.73,3.4700,D26,
2025-07-08 16:13:39,M.15608.6398.90149,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,33.15,3.3100,SAHS,
2025-07-08 15:03:42,M.15608.6398.58549,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,110.49,11.0500,D26,
2025-07-08 14:34:42,M.15608.6398.46349,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,28.41,2.8400,SAHS,
2025-07-08 14:15:28,M.15608.6398.40149,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,63.14,6.3100,D38,
2025-07-08 13:50:24,M.15608.6398.33225,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,35.78,3.5800,SAHS15,
2025-07-08 12:09:32,M.15608.6398.4149,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,104.35,10.4400,SAHS15,
2025-07-08 11:59:15,M.15608.6397.1391753,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,37.88,3.7900,SAHS,
2025-07-08 09:28:25,M.15608.6397.1297678,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,28.41,2.8400,SAHS,
2025-07-08 05:38:02,M.15608.6397.1024895,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,113.30,11.3300,SAHS15,
2025-07-08 04:34:54,M.15608.6397.975169,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,113.65,11.3700,D26,
2025-07-08 04:12:09,M.15608.6397.955340,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,113.65,11.3700,D26,
2025-07-08 04:07:18,M.15608.6397.950890,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,14.21,1.4200,D26,
2025-07-08 04:03:40,M.15608.6397.947676,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,20.87,2.0900,SAHS15,
2025-07-08 03:45:52,M.15608.6397.932775,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,26.83,2.6800,SAHS15,
2025-07-08 02:23:47,M.15608.6397.757697,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,104.35,10.4400,SAHS15,
2025-07-07 23:14:16,M.15608.6397.528644,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,104.36,10.4400,SAHS15,
2025-07-07 20:54:02,M.15608.6397.388550,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,110.50,11.0500,SAHS,
