Report Name,Individual Item Report
Date Run,8/24/25
Filters,Transaction Date >= 8/1/25,Transaction Date <= 8/24/25,Network ID IN 9,Time Zone = GMT

Order ID,Transaction Date,Transaction Time,MID,Advertiser Name,SKU,Product Name,Sales,# of Items,Total Commission,Order Coupon Code(s)
"ASA03999853",8/11/25,"20:49:38",52993,"Adidas KSA","JQ5609_450","RUNFALCON 5 SHOES KIDS",24.72,1,1.73,"RAN222"
"ASA04000409",8/11/25,"22:58:11",52993,"Adidas KSA","GZ3439_450","TENSAUR RUN SHOES",22.31,1,1.562,"RAN221"
"ASA04000532",8/11/25,"23:55:18",52993,"Adidas KSA","JY1143_500","ADICOLOR SST TRACK SUIT KIDS",58.99,1,4.129,"RAN222"
"ASA04000409",8/11/25,"22:58:11",52993,"Adidas KSA","JS3383_590","BREAK START SHOES",31.92,1,2.234,"RAN221"
"ASA03999165",8/11/25,"18:03:26",52993,"Adidas KSA","EG0691_630","ULTRABOOST 20 SHOES",102.32,1,7.162,"RAN222"
"ASA04000409",8/11/25,"22:58:11",52993,"Adidas KSA","JQ2738_590","HOOPS 4.0 SHOES",37.25,1,2.608,"RAN221"
"ASA03999853",8/11/25,"20:49:38",52993,"Adidas KSA","JQ5669_260","RUNFALCON 5 SHOES KIDS",22.36,1,1.565,"RAN222"
"ASA03999165",8/11/25,"18:03:26",52993,"Adidas KSA","IY0706_225","OWN THE RUN SHORTS",23.29,1,1.63,"RAN222"
"ASA03999165",8/11/25,"18:03:26",52993,"Adidas KSA","JK2241_205","AL AHLI FC 2024 HOME SHORTS MEN",28.08,1,1.966,"RAN222"
"ASA03998707",8/11/25,"15:19:35",52993,"Adidas KSA","IH8292_670","DROPSET 3 TRAINING SHOES",93.86,1,6.57,"RAN221"
"ASA04000409",8/11/25,"22:58:11",52993,"Adidas KSA","JH6943_650","LIGHTBLAZE SHOES",57.83,1,4.048,"RAN221"
"ASA04000409",8/11/25,"22:58:11",52993,"Adidas KSA","IF6525_490","TERREX AX4R HIKING SHOES",29.78,1,2.085,"RAN221"
"ASA03999853",8/11/25,"20:49:38",52993,"Adidas KSA","JQ3018_440","DURAMO SL SHOES KIDS",29.46,1,2.062,"RAN222"
"ASA03999165",8/11/25,"18:03:26",52993,"Adidas KSA","JC7720_310","ESSENTIALS TRAINING 3-STRIPES WOVEN SHORTS",20.81,1,1.457,"RAN222"
"ASA03998707",8/11/25,"15:19:35",52993,"Adidas KSA","IF6377_670","PREDATOR LEAGUE TURF BOOTS",74.87,1,5.241,"RAN221"
"ASA04000983",8/12/25,"03:39:50",52993,"Adidas KSA","EG0691_670","ULTRABOOST 20 SHOES",109.91,1,7.694,"RAN222"
"ASA04007485",8/13/25,"20:44:23",52993,"Adidas KSA","JX9829_500","CLASSIC 3 BAR LOGO BACKPACK",14.08,1,0.986,"RAN221"
"ASA04007485",8/13/25,"20:44:23",52993,"Adidas KSA","ID5935_640","ULTRABOOST 1.0 SHOES",101.44,1,7.101,"RAN221"
"ASA04005815",8/13/25,"12:12:11",52993,"Adidas KSA","ID6306_660","SUPERNOVA GORE-TEX RUNNING SHOES",67.46,1,4.722,"RAN221"
"ASA04007485",8/13/25,"20:44:23",52993,"Adidas KSA","HA6363_250","DESIGNED FOR TRAINING WORKOUT TEE",23.64,1,1.655,"RAN221"
"ASA04031054",8/20/25,"13:00:46",52993,"Adidas KSA","HT3434_120","CUSHIONED LOW-CUT SOCKS 3 PAIRS",6.96,1,0.487,"RAN221"
"ASA04032117",8/20/25,"18:14:39",52993,"Adidas KSA","JN0607_210","ALL SZN FRENCH TERRY WASHED 8 INCH SHORTS",26.59,1,1.861,"RAN221"
"ASA04031054",8/20/25,"13:00:46",52993,"Adidas KSA","HT3442_120","CUSHIONED SPORTSWEAR ANKLE SOCKS 6 PAIRS",11.67,1,0.817,"RAN221"
"ASA04032117",8/20/25,"18:14:39",52993,"Adidas KSA","JD4899_205","FUTURE ICONS 3 BAR LOGO SHORTS",27.92,1,1.954,"RAN221"
"ASA04032117",8/20/25,"18:14:39",52993,"Adidas KSA","IY8520_205","ESSENTIALS TREFOIL SHORTS",23.15,1,1.621,"RAN221"
"ASA04032117",8/20/25,"18:14:39",52993,"Adidas KSA","HL3923_205","TIRO 23 COMPETITION TRAINING SHORTS",22.07,1,1.545,"RAN221"
"ASA04038770",8/22/25,"14:51:55",52993,"Adidas KSA","JP7719_660","Y-3 ADIZERO UBERSONIC 5 TENNIS SHOES",168.79,1,11.815,"RAN221"
"ASA04038196",8/22/25,"11:35:26",52993,"Adidas KSA","GW9284_620","ADVANTAGE BASE SHOES",38.1,1,2.667,"RAN221"
"ASA04038196",8/22/25,"11:35:26",52993,"Adidas KSA","GW2063_620","ADVANTAGE BASE SHOES",38.55,1,2.699,"RAN221"
"ASA04042237",8/23/25,"14:04:34",52993,"Adidas KSA","JS1254_670","ULTRABOOST 1.0 SHOES",157.17,1,11.002,"RAN221"
"ASA04044191",8/24/25,"02:22:57",52993,"Adidas KSA","IE3191_680","F50 ELITE FIRM GROUND BOOTS",113.94,1,7.976,"RAN232"
