Order Date (Full date),Order Date (Month),Coupon,Coupon Description,Order id,Country,Currency,Subtotal,Order Discount,Order Return,Status Of Order,Order Return Value,Payment Method
"13 Aug, 2025 07:26:45",August,SS28,Imported from file DigiZag 25Feb25Codes2.xlsx,ARM174947,Kuwait,KD,21.45,2.145,0,Delivered,0,"Credit, Debit, Knet"
"13 Aug, 2025 06:43:56",August,SS28,Imported from file DigiZag 25Feb25Codes2.xlsx,GGB628300,UAE,,235.7,23.57,0,Delivered,0,"Credit, Debit , Apple Pay"
"13 Aug, 2025 04:59:34",August,SS29,Imported from file DigiZag 25Feb25Codes2.xlsx,PXS491934,Kuwait,KD,10.95,1.095,0,Delivered,0,"Credit, Debit, Knet"
"12 Aug, 2025 20:33:06",August,DB1,Imported from file Digizag.xlsx,RBU963715,Kingdom of Saudi Arabia,,42.86,10.71,0,Delivered,0,"Credit, Debit, Apple Pay"
"12 Aug, 2025 20:01:32",August,DG10,DigiZag,MMP730167,Kuwait,KD,18.5,1.85,0,Delivered,0,"Credit, Debit, Knet"
"12 Aug, 2025 19:58:27",August,SS29,Imported from file DigiZag 25Feb25Codes2.xlsx,YVW188364,Kuwait,KD,10.95,1.095,0,Delivered,0,Cash
"12 Aug, 2025 18:57:46",August,MNN27,Imported from file DigiZag Codes 25Feb25.xlsx,CBH623983,Kuwait,KD,9.9,0.99,0,Delivered,0,"Credit, Debit, Knet"
"12 Aug, 2025 16:51:13",August,MNN17,Imported from file DigiZag Bidding Codes.xlsx,EGH194295,Kingdom of Saudi Arabia,,43.48,10.87,0,Delivered,0,"Credit, Debit, Apple Pay"
"12 Aug, 2025 14:25:57",August,SS24,Imported from file DigiZag 25Feb25Codes2.xlsx,LQX131419,Kingdom of Saudi Arabia,,144.09,30,0,Delivered,0,"Credit, Debit, Apple Pay"
"12 Aug, 2025 13:26:52",August,SS28,Imported from file DigiZag 25Feb25Codes2.xlsx,WYV852672,Kingdom of Saudi Arabia,,146.96,30,0,Delivered,0,"Tamara: Split in 3, interest-free"
"12 Aug, 2025 12:23:09",August,SS24,Imported from file DigiZag 25Feb25Codes2.xlsx,BZV325939,Kingdom of Saudi Arabia,,253.3,30,0,Delivered,0,"Credit, Debit, Apple Pay"
"12 Aug, 2025 11:05:06",August,SS24,Imported from file DigiZag 25Feb25Codes2.xlsx,CHV386780,Kingdom of Saudi Arabia,,88.58,22.14,0,Delivered,0,"Credit, Debit, Apple Pay"
"12 Aug, 2025 09:08:13",August,MNN27,Imported from file DigiZag Codes 25Feb25.xlsx,RUU811751,Kuwait,KD,36.85,3.685,0,Delivered,0,"Credit, Debit, Knet"
"12 Aug, 2025 09:07:56",August,DG10,DigiZag,LDN301375,Kuwait,KD,12.4,1.24,1,Cancelled,11.16,Cash
"12 Aug, 2025 09:05:09",August,SS28,Imported from file DigiZag 25Feb25Codes2.xlsx,LRW885433,UAE,,309,30.9,0,Delivered,0,"Credit, Debit , Apple Pay"
"12 Aug, 2025 04:15:29",August,SS27,Imported from file DigiZag 25Feb25Codes2.xlsx,PZZ181323,UAE,,314.05,31.4,0,Delivered,0,"Credit, Debit , Apple Pay"
"11 Aug, 2025 22:15:06",August,DG10,DigiZag,VDV862459,Kuwait,KD,11.95,1.195,1,Cancelled,10.755,Cash
"11 Aug, 2025 22:07:56",August,ZM22,Imported from file Digizag.xlsx,ZQK413699,Kingdom of Saudi Arabia,,129.56,30,0,Delivered,0,"Credit, Debit, Apple Pay"
"11 Aug, 2025 20:11:48",August,ZM22,Imported from file Digizag.xlsx,MGP584178,UAE,,555,55.5,0,Delivered,0,"Tamara: split in 3, interest-free"
"11 Aug, 2025 14:22:29",August,MNN27,Imported from file DigiZag Bidding Codes.xlsx,WRT809282,Kingdom of Saudi Arabia,,100.3,25.07,0,Delivered,0,"Credit, Debit, Apple Pay"
"11 Aug, 2025 12:46:08",August,SS24,Imported from file DigiZag 25Feb25Codes2.xlsx,GEY510674,Kuwait,KD,19.9,1.99,0,Delivered,0,"Credit, Debit, Knet"
"11 Aug, 2025 11:55:51",August,SS28,Imported from file DigiZag 25Feb25Codes2.xlsx,JVW623872,Kingdom of Saudi Arabia,,42,10.5,0,Delivered,0,"Credit, Debit, Apple Pay"
"11 Aug, 2025 08:58:15",August,CC22,Imported from file Digizag.xlsx,BWV334471,Kingdom of Saudi Arabia,,109.9,27.47,0,Delivered,0,"Credit, Debit, Apple Pay"
